time_step,Task ID,"Task Position (x, y)",Urgency,Duration (min)
5,E1,"(31, 63)",6,21
6,E2,"(13, 59)",9,22
7,E3,"(70, 38)",2,24
8,E4,"(67, 5)",2,11
9,E5,"(80, 87)",6,15
13,E6,"(64, 47)",9,28
14,E7,"(55, 27)",8,15
15,E8,"(59, 53)",6,16
20,E9,"(23, 1)",3,25
23,E10,"(86, 15)",9,29
26,E11,"(35, 91)",2,23
27,E12,"(24, 27)",1,28
29,E13,"(56, 10)",4,12
35,E14,"(3, 48)",4,11
37,E15,"(41, 21)",2,30
39,E16,"(90, 84)",3,27
45,E17,"(82, 46)",3,27
49,E18,"(47, 91)",0,29
51,E19,"(43, 24)",3,30
54,E20,"(20, 20)",6,20
55,E21,"(60, 48)",5,10
57,E22,"(19, 76)",5,11
58,E23,"(56, 97)",8,17
59,E24,"(56, 49)",4,29
60,E25,"(92, 0)",1,24
64,E26,"(26, 15)",9,21
68,E27,"(10, 9)",9,15
76,E28,"(10, 63)",7,26
78,E29,"(66, 4)",5,21
79,E30,"(19, 68)",7,18
80,E31,"(49, 56)",9,29
83,E32,"(55, 94)",3,26
84,E33,"(30, 100)",0,30
85,E34,"(13, 26)",4,12
86,E35,"(27, 33)",7,22
87,E36,"(57, 13)",6,21
92,E37,"(12, 49)",6,29
94,E38,"(94, 24)",0,25
96,E39,"(63, 61)",5,24
97,E40,"(27, 59)",6,27
98,E41,"(35, 38)",7,24
