time_step,Task ID,"Task Position (x, y)",Urgency,Duration (min)
0,D1,"(28, 81)",6,12
4,D2,"(54, 46)",7,25
6,D3,"(58, 94)",5,25
7,D4,"(87, 60)",6,28
12,D5,"(27, 55)",9,19
15,D6,"(67, 25)",1,17
16,D7,"(83, 66)",3,24
17,D8,"(63, 2)",9,28
21,D9,"(85, 29)",4,29
22,D10,"(12, 84)",9,26
26,D11,"(51, 4)",3,30
27,D12,"(39, 34)",7,24
29,D13,"(30, 53)",5,20
31,D14,"(53, 72)",7,13
33,D15,"(94, 100)",0,21
34,D16,"(12, 25)",0,28
35,D17,"(53, 2)",9,22
36,D18,"(100, 71)",6,17
39,D19,"(52, 60)",6,21
42,D20,"(59, 78)",7,15
43,D21,"(77, 40)",1,21
44,D22,"(24, 78)",0,11
45,D23,"(40, 29)",1,29
47,D24,"(49, 88)",1,12
49,D25,"(94, 88)",6,21
53,D26,"(56, 15)",5,23
56,D27,"(31, 37)",8,10
62,D28,"(96, 99)",5,29
65,D29,"(1, 59)",3,11
66,D30,"(46, 43)",0,17
68,D31,"(73, 23)",9,19
69,D32,"(64, 0)",6,18
72,D33,"(99, 24)",2,11
73,D34,"(100, 6)",6,18
77,D35,"(30, 91)",6,30
78,D36,"(9, 71)",3,30
80,D37,"(23, 35)",4,28
82,D38,"(94, 54)",0,15
83,D39,"(14, 72)",5,26
86,D40,"(37, 69)",8,19
87,D41,"(18, 30)",0,25
88,D42,"(46, 8)",9,28
91,D43,"(68, 35)",0,30
95,D44,"(59, 66)",8,20
96,D45,"(25, 67)",6,25
98,D46,"(27, 54)",3,18
99,D47,"(42, 0)",1,23
