time_step,Task ID,"Task Position (x, y)",Urgency,Duration (min)
2,D1,"(55, 68)",8,10
3,D2,"(84, 7)",1,24
5,D3,"(3, 59)",7,30
12,D4,"(13, 71)",7,18
13,D5,"(54, 3)",6,11
14,D6,"(5, 34)",7,23
16,D7,"(93, 11)",0,16
20,D8,"(99, 47)",4,30
22,D9,"(5, 100)",8,23
25,D10,"(98, 39)",9,17
26,D11,"(47, 93)",4,21
30,D12,"(27, 56)",8,14
31,D13,"(42, 5)",6,30
35,D14,"(71, 93)",7,26
36,D15,"(79, 12)",0,25
37,D16,"(10, 56)",4,23
38,D17,"(5, 38)",9,19
39,D18,"(42, 80)",1,26
40,D19,"(69, 24)",0,28
42,D20,"(93, 74)",1,10
43,D21,"(36, 2)",0,24
44,D22,"(35, 69)",7,15
45,D23,"(18, 58)",0,15
49,D24,"(44, 47)",8,22
50,D25,"(39, 39)",1,12
51,D26,"(63, 50)",9,24
52,D27,"(85, 6)",0,17
54,D28,"(30, 41)",5,21
55,D29,"(46, 75)",9,25
57,D30,"(4, 35)",2,18
61,D31,"(81, 44)",8,16
65,D32,"(86, 5)",2,10
67,D33,"(59, 36)",9,11
70,D34,"(9, 31)",7,18
73,D35,"(26, 36)",7,11
74,D36,"(73, 8)",9,19
75,D37,"(66, 21)",5,10
77,D38,"(40, 84)",7,18
84,D39,"(69, 39)",7,13
87,D40,"(81, 46)",7,11
89,D41,"(57, 85)",9,30
90,D42,"(5, 89)",0,13
92,D43,"(82, 59)",2,25
95,D44,"(65, 40)",0,13
97,D45,"(52, 14)",2,20
