time_step,Task ID,"Task Position (x, y)",Urgency,Duration (min)
0,D1,"(25, 32)",4,21
1,D2,"(48, 97)",7,22
2,D3,"(32, 46)",0,20
5,D4,"(33, 54)",8,26
7,D5,"(68, 15)",0,24
9,D6,"(56, 25)",4,21
10,D7,"(7, 74)",0,21
12,D8,"(92, 66)",5,21
15,D9,"(37, 74)",0,28
16,D10,"(14, 96)",3,27
18,D11,"(59, 12)",9,25
19,D12,"(72, 39)",3,14
20,D13,"(68, 87)",7,30
21,D14,"(58, 79)",1,17
23,D15,"(70, 54)",6,23
25,D16,"(46, 79)",5,17
30,D17,"(74, 91)",1,22
32,D18,"(68, 53)",3,20
33,D19,"(63, 59)",5,23
35,D20,"(50, 27)",9,21
36,D21,"(98, 9)",5,15
42,D22,"(88, 32)",6,26
44,D23,"(22, 11)",8,15
45,D24,"(36, 30)",6,10
50,D25,"(32, 65)",0,13
53,D26,"(17, 35)",8,17
55,D27,"(10, 83)",2,14
58,D28,"(71, 56)",2,20
60,D29,"(72, 57)",7,26
64,D30,"(40, 32)",7,27
69,D31,"(73, 92)",1,12
73,D32,"(24, 92)",2,22
74,D33,"(32, 27)",4,19
75,D34,"(37, 71)",0,29
81,D35,"(16, 40)",3,17
83,D36,"(4, 35)",7,18
84,D37,"(6, 81)",1,22
89,D38,"(14, 72)",5,19
93,D39,"(33, 86)",4,11
95,D40,"(41, 41)",4,12
96,D41,"(50, 29)",6,19
97,D42,"(23, 93)",4,23
