time_step,Task ID,"Task Position (x, y)",Urgency,Duration (min)
0,E1,"(55, 86)",0,11
4,E2,"(95, 69)",9,10
5,E3,"(94, 52)",8,12
7,E4,"(39, 58)",5,19
9,E5,"(60, 99)",1,25
10,E6,"(46, 89)",6,16
12,E7,"(81, 24)",3,26
14,E8,"(91, 59)",9,22
16,E9,"(0, 37)",9,12
18,E10,"(82, 21)",9,13
19,E11,"(68, 19)",2,10
21,E12,"(91, 19)",3,12
22,E13,"(21, 67)",8,11
28,E14,"(38, 73)",9,12
30,E15,"(16, 12)",6,20
31,E16,"(88, 21)",7,27
33,E17,"(27, 4)",7,10
34,E18,"(66, 0)",7,11
36,E19,"(99, 67)",5,30
38,E20,"(95, 84)",9,21
39,E21,"(20, 14)",1,21
42,E22,"(60, 0)",6,30
43,E23,"(59, 16)",2,14
44,E24,"(34, 16)",2,10
46,E25,"(88, 4)",9,26
48,E26,"(44, 54)",2,30
49,E27,"(30, 67)",2,15
53,E28,"(54, 58)",4,15
54,E29,"(67, 50)",9,14
56,E30,"(55, 19)",1,29
57,E31,"(19, 82)",0,27
59,E32,"(85, 61)",2,19
60,E33,"(5, 47)",9,19
64,E34,"(53, 18)",8,23
65,E35,"(4, 23)",2,13
69,E36,"(71, 63)",1,26
70,E37,"(27, 37)",1,23
71,E38,"(88, 64)",5,16
72,E39,"(56, 13)",3,26
73,E40,"(80, 7)",8,19
74,E41,"(86, 72)",5,14
76,E42,"(29, 78)",4,30
79,E43,"(80, 1)",4,17
81,E44,"(18, 53)",3,28
86,E45,"(99, 88)",3,28
89,E46,"(0, 42)",7,17
90,E47,"(96, 26)",3,25
94,E48,"(0, 41)",7,17
98,E49,"(14, 50)",0,22
