time_step,Task ID,"Task Position (x, y)",Urgency,Duration (min)
2,E1,"(35, 80)",9,12
4,E2,"(72, 18)",1,16
7,E3,"(30, 34)",7,18
8,E4,"(26, 8)",9,25
9,E5,"(92, 79)",6,12
10,E6,"(59, 89)",7,20
13,E7,"(47, 73)",4,21
14,E8,"(11, 98)",5,16
15,E9,"(94, 21)",4,14
17,E10,"(71, 16)",4,29
18,E11,"(37, 93)",4,28
19,E12,"(79, 2)",0,16
21,E13,"(73, 43)",5,12
23,E14,"(3, 3)",6,13
27,E15,"(94, 51)",0,26
28,E16,"(45, 22)",6,12
29,E17,"(7, 45)",7,18
32,E18,"(19, 75)",0,24
33,E19,"(25, 35)",2,25
37,E20,"(22, 92)",5,26
43,E21,"(7, 6)",5,10
45,E22,"(22, 24)",4,29
46,E23,"(13, 99)",3,10
48,E24,"(41, 98)",9,25
51,E25,"(83, 5)",2,12
53,E26,"(26, 77)",1,26
56,E27,"(95, 33)",0,12
57,E28,"(10, 27)",2,26
59,E29,"(55, 59)",8,27
61,E30,"(94, 44)",3,27
64,E31,"(14, 82)",1,22
66,E32,"(23, 9)",8,27
68,E33,"(92, 31)",8,11
69,E34,"(3, 29)",7,13
70,E35,"(62, 45)",8,12
71,E36,"(85, 9)",7,29
72,E37,"(18, 57)",7,30
79,E38,"(11, 21)",6,14
80,E39,"(21, 11)",8,18
81,E40,"(93, 21)",2,13
84,E41,"(44, 0)",9,10
86,E42,"(42, 82)",9,19
91,E43,"(31, 59)",5,27
93,E44,"(40, 54)",2,12
97,E45,"(43, 50)",6,29
98,E46,"(31, 41)",0,30
