time_step,Task ID,"Task Position (x, y)",Urgency,Duration (min)
1,D1,"(94, 57)",1,15
4,D2,"(77, 72)",5,30
7,D3,"(49, 87)",5,10
12,D4,"(56, 20)",4,25
13,D5,"(0, 12)",2,28
14,D6,"(87, 43)",0,22
16,D7,"(58, 56)",0,13
17,D8,"(25, 72)",0,19
19,D9,"(56, 11)",6,10
20,D10,"(51, 61)",2,14
25,D11,"(52, 61)",9,17
26,D12,"(3, 28)",9,20
27,D13,"(42, 16)",6,29
30,D14,"(97, 3)",0,21
31,D15,"(37, 76)",3,15
32,D16,"(42, 58)",2,27
33,D17,"(3, 89)",6,10
36,D18,"(62, 51)",3,22
38,D19,"(61, 42)",7,29
43,D20,"(9, 64)",5,13
45,D21,"(85, 58)",2,12
46,D22,"(81, 48)",0,23
47,D23,"(21, 45)",2,23
52,D24,"(79, 44)",6,24
54,D25,"(83, 20)",8,26
56,D26,"(72, 56)",1,25
57,D27,"(58, 83)",0,19
58,D28,"(89, 23)",6,12
65,D29,"(54, 35)",0,21
72,D30,"(72, 35)",0,13
76,D31,"(69, 82)",7,17
80,D32,"(21, 86)",4,26
82,D33,"(77, 75)",5,16
83,D34,"(81, 33)",2,19
85,D35,"(33, 4)",5,24
86,D36,"(22, 27)",8,18
87,D37,"(97, 29)",4,25
88,D38,"(42, 86)",6,18
90,D39,"(46, 24)",4,17
91,D40,"(73, 1)",5,26
95,D41,"(47, 10)",4,30
96,D42,"(13, 26)",4,13
98,D43,"(4, 1)",5,29
99,D44,"(69, 68)",0,22
