time_step,Task ID,"Task Position (x, y)",Urgency,Duration (min)
3,D1,"(2, 56)",9,14
5,D2,"(14, 37)",8,28
6,D3,"(49, 60)",5,15
9,D4,"(72, 13)",4,29
13,D5,"(34, 61)",7,23
15,D6,"(86, 49)",0,20
16,D7,"(97, 15)",1,23
20,D8,"(91, 100)",5,26
22,D9,"(83, 23)",4,17
24,D10,"(92, 20)",0,12
26,D11,"(98, 95)",5,22
28,D12,"(19, 34)",4,23
31,D13,"(41, 87)",3,13
33,D14,"(75, 24)",8,21
38,D15,"(99, 10)",5,13
39,D16,"(98, 56)",7,12
40,D17,"(95, 21)",5,27
41,D18,"(96, 1)",3,13
43,D19,"(42, 6)",8,24
45,D20,"(82, 30)",7,16
47,D21,"(77, 16)",0,29
51,D22,"(3, 66)",7,23
53,D23,"(63, 44)",2,27
54,D24,"(3, 29)",3,30
57,D25,"(70, 25)",6,13
58,D26,"(38, 60)",2,28
59,D27,"(52, 30)",9,22
60,D28,"(40, 28)",6,22
63,D29,"(2, 28)",8,22
64,D30,"(53, 0)",7,22
67,D31,"(3, 47)",4,29
68,D32,"(68, 49)",0,17
73,D33,"(45, 89)",7,30
76,D34,"(87, 62)",0,25
80,D35,"(28, 64)",0,18
81,D36,"(67, 13)",4,15
84,D37,"(68, 29)",4,23
85,D38,"(58, 9)",4,18
86,D39,"(10, 3)",1,14
87,D40,"(53, 95)",3,11
88,D41,"(93, 74)",9,27
89,D42,"(1, 14)",8,14
90,D43,"(55, 46)",6,30
92,D44,"(95, 76)",5,13
95,D45,"(84, 38)",4,25
97,D46,"(94, 85)",2,25
98,D47,"(55, 13)",5,24
