time_step,Task ID,"Task Position (x, y)",Urgency,Duration (min)
0,D1,"(41, 9)",7,16
1,D2,"(76, 54)",1,18
3,D3,"(90, 86)",8,14
4,D4,"(15, 98)",9,24
8,D5,"(3, 32)",8,13
9,D6,"(72, 40)",6,30
13,D7,"(51, 21)",4,28
15,D8,"(92, 1)",4,16
19,D9,"(14, 4)",1,20
20,D10,"(63, 59)",5,21
23,D11,"(23, 22)",5,16
24,D12,"(15, 7)",9,15
25,D13,"(60, 80)",6,25
28,D14,"(32, 31)",8,17
29,D15,"(93, 48)",9,25
30,D16,"(42, 27)",5,26
31,D17,"(78, 88)",9,24
32,D18,"(75, 97)",4,16
35,D19,"(87, 97)",0,29
37,D20,"(76, 5)",9,28
40,D21,"(37, 40)",2,15
41,D22,"(0, 72)",9,17
42,D23,"(16, 9)",9,23
43,D24,"(97, 46)",4,11
46,D25,"(83, 71)",6,23
48,D26,"(65, 8)",6,27
49,D27,"(4, 84)",1,13
50,D28,"(0, 97)",0,25
52,D29,"(26, 8)",6,16
54,D30,"(36, 3)",7,20
55,D31,"(5, 5)",1,10
59,D32,"(12, 96)",8,27
61,D33,"(86, 73)",3,20
65,D34,"(62, 58)",1,14
67,D35,"(19, 43)",8,10
68,D36,"(33, 71)",9,14
70,D37,"(37, 96)",5,23
72,D38,"(68, 96)",3,15
74,D39,"(82, 14)",4,25
75,D40,"(42, 100)",7,25
77,D41,"(16, 75)",5,11
80,D42,"(46, 26)",1,15
82,D43,"(19, 92)",4,12
87,D44,"(46, 86)",1,17
89,D45,"(76, 16)",2,17
90,D46,"(22, 75)",7,18
92,D47,"(70, 38)",1,13
96,D48,"(72, 15)",4,10
99,D49,"(7, 53)",7,25
