time_step,Task ID,"Task Position (x, y)",Urgency,Duration (min)
2,E1,"(31, 32)",1,10
4,E2,"(83, 36)",1,11
6,E3,"(58, 16)",5,26
7,E4,"(10, 82)",1,26
16,E5,"(50, 52)",8,17
19,E6,"(95, 89)",3,24
24,E7,"(32, 41)",1,22
26,E8,"(96, 43)",9,24
28,E9,"(36, 67)",1,12
29,E10,"(33, 91)",4,20
30,E11,"(85, 40)",6,26
32,E12,"(78, 43)",1,16
34,E13,"(53, 42)",9,20
38,E14,"(90, 45)",2,19
42,E15,"(33, 60)",3,10
43,E16,"(51, 93)",9,18
47,E17,"(53, 92)",9,20
49,E18,"(72, 19)",7,14
51,E19,"(37, 96)",5,25
52,E20,"(36, 65)",5,14
55,E21,"(27, 48)",7,14
57,E22,"(15, 3)",4,24
58,E23,"(52, 2)",8,12
60,E24,"(65, 43)",9,15
62,E25,"(84, 33)",3,21
63,E26,"(67, 41)",9,19
64,E27,"(54, 1)",8,26
65,E28,"(73, 31)",2,22
66,E29,"(55, 7)",4,21
68,E30,"(7, 27)",5,24
75,E31,"(45, 15)",1,28
78,E32,"(4, 20)",8,19
79,E33,"(67, 18)",7,20
80,E34,"(57, 8)",8,23
81,E35,"(17, 73)",0,11
83,E36,"(31, 6)",0,22
86,E37,"(10, 69)",4,16
87,E38,"(78, 21)",2,26
88,E39,"(73, 52)",8,24
91,E40,"(0, 6)",2,24
92,E41,"(93, 1)",5,13
93,E42,"(87, 81)",7,14
94,E43,"(43, 69)",6,24
95,E44,"(76, 53)",6,13
97,E45,"(14, 46)",8,19
98,E46,"(100, 45)",1,10
