time_step,Task ID,"Task Position (x, y)",Urgency,Duration (min)
2,D1,"(69, 4)",0,23
3,D2,"(53, 96)",3,25
4,D3,"(10, 85)",9,29
5,D4,"(33, 93)",9,10
9,D5,"(24, 16)",0,25
12,D6,"(16, 48)",7,29
13,D7,"(29, 38)",4,14
20,D8,"(12, 10)",4,28
22,D9,"(60, 73)",8,25
24,D10,"(86, 71)",7,20
26,D11,"(50, 60)",4,22
27,D12,"(60, 87)",0,22
28,D13,"(24, 82)",1,17
29,D14,"(1, 6)",3,30
30,D15,"(68, 1)",1,25
33,D16,"(86, 65)",5,29
34,D17,"(34, 98)",0,21
35,D18,"(22, 64)",8,26
37,D19,"(100, 72)",0,17
38,D20,"(30, 27)",4,15
39,D21,"(15, 30)",0,10
40,D22,"(15, 0)",7,22
42,D23,"(61, 76)",1,20
44,D24,"(46, 21)",5,20
45,D25,"(92, 21)",2,25
46,D26,"(21, 78)",4,28
48,D27,"(76, 83)",2,14
51,D28,"(90, 91)",1,15
53,D29,"(10, 13)",8,18
56,D30,"(34, 72)",3,24
58,D31,"(68, 40)",0,15
60,D32,"(2, 8)",3,30
63,D33,"(11, 41)",4,10
65,D34,"(86, 62)",1,26
67,D35,"(46, 52)",6,11
69,D36,"(27, 95)",1,23
70,D37,"(38, 2)",9,11
72,D38,"(30, 82)",2,10
77,D39,"(55, 62)",8,30
78,D40,"(57, 54)",0,21
83,D41,"(15, 28)",1,14
84,D42,"(46, 94)",3,15
91,D43,"(91, 77)",7,25
93,D44,"(61, 53)",7,13
94,D45,"(31, 62)",0,12
95,D46,"(94, 70)",4,10
96,D47,"(93, 45)",4,12
99,D48,"(88, 85)",8,30
