time_step,Task ID,"Task Position (x, y)",Urgency,Duration (min)
0,D1,"(25, 42)",0,30
4,D2,"(62, 8)",9,30
6,D3,"(97, 62)",3,23
8,D4,"(61, 68)",2,11
9,D5,"(34, 55)",2,25
14,D6,"(51, 63)",1,29
17,D7,"(1, 41)",5,27
18,D8,"(99, 77)",9,11
19,D9,"(9, 93)",1,17
20,D10,"(86, 55)",9,24
22,D11,"(89, 77)",3,25
24,D12,"(35, 60)",4,14
28,D13,"(52, 52)",4,27
29,D14,"(47, 48)",6,26
30,D15,"(26, 17)",7,24
32,D16,"(21, 11)",5,17
33,D17,"(27, 56)",8,18
35,D18,"(42, 37)",1,28
36,D19,"(45, 97)",8,25
38,D20,"(3, 3)",4,15
40,D21,"(99, 47)",3,29
41,D22,"(51, 33)",2,13
44,D23,"(62, 2)",1,13
46,D24,"(41, 0)",2,11
48,D25,"(24, 48)",4,25
50,D26,"(74, 88)",4,12
51,D27,"(39, 45)",5,18
55,D28,"(41, 34)",0,23
56,D29,"(16, 25)",3,16
57,D30,"(55, 97)",1,16
59,D31,"(72, 74)",9,10
60,D32,"(97, 86)",5,13
61,D33,"(97, 3)",5,17
63,D34,"(58, 45)",6,10
67,D35,"(25, 95)",8,11
68,D36,"(51, 71)",1,18
69,D37,"(67, 52)",5,23
72,D38,"(79, 42)",4,12
73,D39,"(48, 86)",6,15
78,D40,"(97, 12)",7,29
79,D41,"(35, 83)",5,19
83,D42,"(7, 41)",5,29
84,D43,"(81, 75)",9,29
86,D44,"(84, 14)",5,28
87,D45,"(11, 41)",3,17
91,D46,"(21, 58)",1,23
94,D47,"(46, 43)",9,27
95,D48,"(51, 100)",6,28
96,D49,"(95, 4)",2,26
98,D50,"(27, 97)",1,18
99,D51,"(58, 0)",6,10
