time_step,Task ID,"Task Position (x, y)",Urgency,Duration (min)
11,E1,"(48, 6)",0,16
14,E2,"(73, 59)",4,30
16,E3,"(56, 64)",3,17
17,E4,"(8, 52)",0,28
18,E5,"(11, 98)",3,21
20,E6,"(73, 56)",2,23
22,E7,"(63, 62)",4,26
23,E8,"(60, 30)",7,12
26,E9,"(79, 60)",6,19
27,E10,"(28, 49)",8,18
28,E11,"(8, 22)",9,18
29,E12,"(50, 83)",8,21
30,E13,"(50, 30)",3,13
34,E14,"(24, 39)",7,10
35,E15,"(89, 6)",5,13
37,E16,"(90, 87)",2,27
39,E17,"(39, 31)",5,23
40,E18,"(32, 45)",6,23
42,E19,"(81, 26)",5,20
43,E20,"(88, 41)",1,19
46,E21,"(42, 10)",5,14
48,E22,"(8, 36)",6,21
49,E23,"(42, 74)",7,21
51,E24,"(98, 56)",0,19
53,E25,"(81, 66)",2,12
54,E26,"(30, 77)",5,20
56,E27,"(59, 82)",9,29
57,E28,"(64, 94)",1,10
60,E29,"(10, 64)",7,15
61,E30,"(17, 56)",6,12
62,E31,"(28, 22)",3,14
64,E32,"(67, 64)",1,28
66,E33,"(31, 45)",7,25
67,E34,"(46, 93)",1,19
69,E35,"(0, 5)",5,24
70,E36,"(6, 49)",2,12
71,E37,"(24, 72)",9,17
73,E38,"(5, 15)",2,22
74,E39,"(92, 2)",6,20
76,E40,"(80, 94)",6,22
78,E41,"(34, 89)",7,26
79,E42,"(36, 22)",9,25
80,E43,"(53, 95)",5,28
81,E44,"(1, 93)",6,22
83,E45,"(45, 34)",8,16
84,E46,"(87, 42)",4,13
85,E47,"(66, 95)",7,16
88,E48,"(45, 35)",2,27
90,E49,"(95, 86)",3,24
91,E50,"(62, 39)",7,24
92,E51,"(19, 12)",3,19
94,E52,"(80, 100)",7,14
95,E53,"(84, 36)",4,11
96,E54,"(40, 81)",1,22
99,E55,"(99, 79)",0,26
