time_step,Task ID,"Task Position (x, y)",Urgency,Duration (min)
1,D1,"(20, 10)",1,22
2,D2,"(79, 24)",7,22
4,D3,"(25, 77)",4,22
6,D4,"(6, 40)",8,23
7,D5,"(57, 80)",4,21
8,D6,"(100, 30)",5,14
9,D7,"(40, 83)",7,12
17,D8,"(41, 18)",0,27
18,D9,"(13, 66)",8,20
19,D10,"(78, 45)",1,12
20,D11,"(26, 7)",9,14
22,D12,"(14, 73)",1,11
23,D13,"(8, 78)",7,11
26,D14,"(63, 4)",0,18
27,D15,"(45, 25)",4,29
28,D16,"(19, 78)",3,10
31,D17,"(63, 59)",2,23
35,D18,"(29, 41)",8,28
36,D19,"(48, 84)",3,16
38,D20,"(92, 51)",9,18
40,D21,"(46, 22)",2,18
44,D22,"(28, 43)",9,30
47,D23,"(76, 4)",3,14
48,D24,"(70, 5)",5,29
50,D25,"(69, 78)",5,27
52,D26,"(46, 87)",2,20
54,D27,"(19, 65)",9,12
56,D28,"(42, 44)",7,21
57,D29,"(16, 46)",7,29
60,D30,"(11, 99)",8,26
62,D31,"(68, 1)",7,17
67,D32,"(99, 79)",9,14
71,D33,"(47, 78)",6,28
73,D34,"(83, 0)",7,11
77,D35,"(53, 87)",3,25
82,D36,"(88, 30)",2,23
85,D37,"(97, 19)",7,26
87,D38,"(88, 74)",2,14
88,D39,"(33, 43)",4,11
90,D40,"(76, 93)",5,24
94,D41,"(42, 81)",9,26
95,D42,"(60, 37)",3,27
96,D43,"(50, 91)",1,23
99,D44,"(34, 39)",9,18
