time_step,Task ID,"Task Position (x, y)",Urgency,Duration (min)
1,D1,"(87, 67)",3,22
3,D2,"(11, 97)",5,30
4,D3,"(55, 58)",9,29
5,D4,"(32, 42)",9,17
6,D5,"(17, 37)",6,25
8,D6,"(10, 31)",4,27
9,D7,"(75, 85)",8,29
10,D8,"(96, 49)",0,11
11,D9,"(96, 80)",1,11
12,D10,"(98, 12)",7,17
15,D11,"(21, 27)",4,28
16,D12,"(31, 19)",7,15
17,D13,"(43, 0)",2,15
18,D14,"(68, 89)",6,14
22,D15,"(68, 44)",3,11
23,D16,"(83, 31)",8,19
25,D17,"(1, 80)",7,27
29,D18,"(40, 24)",0,20
30,D19,"(11, 35)",2,25
31,D20,"(27, 96)",3,20
32,D21,"(49, 80)",6,15
37,D22,"(92, 30)",5,14
39,D23,"(93, 36)",7,16
40,D24,"(94, 83)",3,20
42,D25,"(95, 12)",2,29
43,D26,"(61, 84)",5,15
44,D27,"(69, 100)",8,28
45,D28,"(64, 64)",0,30
46,D29,"(99, 96)",0,17
49,D30,"(10, 58)",3,19
50,D31,"(91, 21)",7,14
51,D32,"(31, 12)",2,29
53,D33,"(76, 37)",1,17
56,D34,"(33, 7)",9,11
57,D35,"(16, 6)",6,22
59,D36,"(88, 10)",3,11
60,D37,"(20, 91)",6,17
61,D38,"(55, 31)",5,17
62,D39,"(57, 34)",5,14
63,D40,"(42, 5)",9,13
64,D41,"(85, 14)",1,14
65,D42,"(69, 33)",5,19
66,D43,"(8, 38)",7,28
67,D44,"(62, 67)",2,20
69,D45,"(55, 48)",3,15
70,D46,"(67, 71)",4,16
72,D47,"(72, 60)",1,26
73,D48,"(60, 35)",9,18
79,D49,"(83, 86)",3,15
81,D50,"(63, 41)",5,20
84,D51,"(80, 61)",4,27
85,D52,"(60, 48)",2,15
87,D53,"(37, 60)",2,24
88,D54,"(87, 23)",7,30
89,D55,"(47, 82)",1,22
90,D56,"(31, 38)",4,30
91,D57,"(80, 61)",1,20
92,D58,"(90, 14)",5,24
95,D59,"(26, 23)",6,12
97,D60,"(2, 52)",2,12
98,D61,"(41, 19)",5,27
99,D62,"(100, 32)",7,26
