time_step,Task ID,"Task Position (x, y)",Urgency,Duration (min)
0,D1,"(1, 87)",9,19
2,D2,"(97, 2)",5,29
3,D3,"(57, 36)",7,29
4,D4,"(72, 48)",6,12
8,D5,"(70, 67)",6,10
13,D6,"(46, 88)",5,24
15,D7,"(43, 65)",0,15
17,D8,"(11, 55)",5,18
19,D9,"(55, 80)",3,27
23,D10,"(90, 39)",1,29
27,D11,"(68, 13)",8,17
31,D12,"(21, 95)",5,16
34,D13,"(52, 81)",4,15
35,D14,"(99, 58)",0,14
36,D15,"(21, 25)",1,12
38,D16,"(22, 37)",7,20
40,D17,"(57, 74)",3,20
41,D18,"(82, 57)",0,22
42,D19,"(68, 2)",4,22
44,D20,"(1, 88)",7,27
45,D21,"(57, 24)",1,16
48,D22,"(34, 48)",4,15
49,D23,"(79, 33)",6,30
55,D24,"(29, 81)",9,14
56,D25,"(23, 17)",0,26
58,D26,"(70, 41)",8,28
61,D27,"(41, 81)",8,16
62,D28,"(28, 0)",1,10
63,D29,"(100, 17)",2,10
68,D30,"(13, 79)",3,23
69,D31,"(78, 75)",2,16
70,D32,"(84, 11)",0,25
75,D33,"(15, 42)",8,23
78,D34,"(54, 85)",1,14
81,D35,"(52, 59)",1,29
82,D36,"(5, 63)",1,10
84,D37,"(40, 54)",0,25
87,D38,"(75, 50)",4,11
88,D39,"(5, 27)",8,28
89,D40,"(82, 54)",3,29
92,D41,"(13, 16)",6,12
93,D42,"(74, 69)",7,23
95,D43,"(15, 45)",7,30
97,D44,"(0, 36)",9,23
98,D45,"(84, 11)",5,11
