time_step,Task ID,"Task Position (x, y)",Urgency,Duration (min)
2,E1,"(31, 71)",3,16
3,E2,"(9, 33)",2,20
4,E3,"(86, 59)",7,27
9,E4,"(16, 70)",2,29
11,E5,"(84, 95)",1,14
12,E6,"(32, 85)",1,15
14,E7,"(38, 74)",3,27
15,E8,"(32, 80)",7,30
18,E9,"(39, 5)",0,28
19,E10,"(47, 73)",1,20
26,E11,"(2, 56)",4,20
27,E12,"(89, 72)",8,15
28,E13,"(56, 45)",2,17
29,E14,"(99, 59)",7,11
31,E15,"(61, 52)",6,18
36,E16,"(97, 89)",9,27
40,E17,"(90, 7)",4,29
44,E18,"(0, 39)",3,10
45,E19,"(63, 25)",8,10
46,E20,"(17, 17)",2,23
50,E21,"(68, 45)",9,24
53,E22,"(94, 97)",3,18
54,E23,"(40, 52)",9,28
55,E24,"(29, 44)",9,21
57,E25,"(66, 22)",0,20
58,E26,"(3, 100)",7,26
59,E27,"(66, 36)",3,16
60,E28,"(36, 4)",6,15
61,E29,"(14, 31)",0,14
62,E30,"(97, 65)",8,30
63,E31,"(0, 90)",3,16
69,E32,"(51, 41)",7,10
70,E33,"(80, 14)",0,23
72,E34,"(92, 36)",8,22
73,E35,"(1, 24)",6,26
75,E36,"(31, 37)",4,27
77,E37,"(76, 55)",8,15
79,E38,"(82, 51)",4,25
80,E39,"(85, 33)",0,14
82,E40,"(29, 38)",1,29
83,E41,"(3, 17)",8,19
85,E42,"(86, 47)",8,30
89,E43,"(17, 20)",8,12
90,E44,"(52, 22)",6,14
91,E45,"(86, 20)",1,25
93,E46,"(85, 28)",7,23
95,E47,"(0, 26)",9,22
96,E48,"(30, 74)",1,13
97,E49,"(34, 100)",3,18
