time_step,Task ID,"Task Position (x, y)",Urgency,Duration (min)
3,D1,"(70, 94)",1,29
4,D2,"(75, 47)",3,22
5,D3,"(14, 45)",2,29
7,D4,"(4, 85)",2,25
8,D5,"(66, 31)",1,28
12,D6,"(53, 30)",6,10
15,D7,"(8, 69)",0,28
16,D8,"(35, 21)",7,26
18,D9,"(82, 64)",4,13
19,D10,"(43, 18)",1,11
20,D11,"(56, 16)",7,13
22,D12,"(9, 3)",4,20
23,D13,"(11, 47)",4,18
30,D14,"(48, 70)",0,17
31,D15,"(61, 66)",3,13
38,D16,"(23, 12)",1,21
41,D17,"(51, 72)",1,30
42,D18,"(73, 81)",5,29
43,D19,"(7, 41)",4,28
44,D20,"(0, 89)",3,29
45,D21,"(30, 53)",8,29
46,D22,"(100, 31)",2,15
51,D23,"(78, 75)",0,24
52,D24,"(93, 62)",3,19
54,D25,"(84, 71)",6,30
55,D26,"(100, 85)",3,14
60,D27,"(2, 27)",3,21
61,D28,"(25, 93)",9,24
64,D29,"(45, 28)",3,21
69,D30,"(70, 88)",5,21
70,D31,"(17, 4)",1,30
72,D32,"(90, 39)",3,20
73,D33,"(84, 61)",0,15
74,D34,"(24, 95)",2,22
75,D35,"(25, 18)",2,28
77,D36,"(39, 45)",7,15
81,D37,"(17, 68)",9,27
83,D38,"(62, 79)",1,25
85,D39,"(23, 58)",1,20
87,D40,"(59, 41)",5,22
88,D41,"(61, 19)",6,12
89,D42,"(58, 100)",7,25
90,D43,"(44, 100)",5,12
91,D44,"(28, 90)",5,29
92,D45,"(91, 69)",1,22
93,D46,"(81, 31)",1,22
96,D47,"(43, 13)",0,25
98,D48,"(21, 65)",6,11
99,D49,"(1, 97)",3,21
