time_step,Task ID,"Task Position (x, y)",Urgency,Duration (min)
0,E1,"(55, 28)",4,11
2,E2,"(86, 60)",3,23
10,E3,"(28, 34)",6,27
11,E4,"(90, 18)",9,16
13,E5,"(79, 78)",5,14
14,E6,"(36, 22)",0,20
15,E7,"(5, 96)",9,10
17,E8,"(48, 32)",6,30
18,E9,"(1, 29)",4,20
19,E10,"(37, 27)",6,15
20,E11,"(49, 30)",7,13
25,E12,"(36, 75)",5,22
28,E13,"(81, 73)",2,26
29,E14,"(89, 80)",3,20
30,E15,"(37, 3)",8,19
31,E16,"(41, 74)",9,20
32,E17,"(35, 96)",4,14
35,E18,"(8, 40)",0,13
36,E19,"(71, 18)",3,30
37,E20,"(63, 9)",5,18
38,E21,"(3, 68)",6,11
39,E22,"(63, 89)",1,28
40,E23,"(62, 88)",5,12
42,E24,"(54, 70)",7,27
45,E25,"(46, 89)",1,11
47,E26,"(88, 0)",3,19
51,E27,"(49, 37)",9,25
59,E28,"(87, 69)",3,14
63,E29,"(4, 59)",9,24
66,E30,"(78, 50)",5,23
68,E31,"(75, 88)",9,28
70,E32,"(37, 67)",9,11
74,E33,"(75, 34)",9,23
76,E34,"(10, 81)",4,25
78,E35,"(70, 53)",4,10
83,E36,"(28, 35)",9,14
84,E37,"(1, 87)",8,28
85,E38,"(17, 91)",1,17
88,E39,"(9, 47)",8,28
90,E40,"(87, 14)",1,28
91,E41,"(25, 84)",5,12
92,E42,"(22, 71)",2,12
93,E43,"(64, 38)",0,26
94,E44,"(17, 36)",7,12
95,E45,"(62, 93)",6,12
96,E46,"(92, 82)",9,23
97,E47,"(57, 63)",6,25
98,E48,"(2, 53)",5,14
