time_step,Task ID,"Task Position (x, y)",Urgency,Duration (min)
2,D1,"(8, 45)",0,28
4,D2,"(57, 96)",6,28
5,D3,"(98, 50)",5,12
7,D4,"(22, 54)",5,10
9,D5,"(63, 94)",8,17
10,D6,"(96, 35)",4,14
12,D7,"(69, 7)",9,12
15,D8,"(14, 97)",5,13
19,D9,"(86, 77)",5,27
20,D10,"(10, 91)",9,25
21,D11,"(99, 0)",3,25
22,D12,"(60, 28)",5,20
24,D13,"(63, 55)",3,11
26,D14,"(15, 27)",0,12
27,D15,"(11, 95)",3,17
32,D16,"(79, 20)",5,21
34,D17,"(74, 62)",7,25
36,D18,"(37, 89)",1,19
37,D19,"(2, 80)",9,24
40,D20,"(69, 79)",0,10
42,D21,"(46, 57)",0,23
43,D22,"(52, 73)",9,27
44,D23,"(31, 29)",3,13
45,D24,"(60, 31)",4,16
48,D25,"(82, 0)",0,19
49,D26,"(43, 6)",0,30
50,D27,"(78, 81)",5,25
52,D28,"(21, 50)",1,23
53,D29,"(65, 96)",2,27
54,D30,"(38, 57)",8,30
55,D31,"(96, 5)",6,14
56,D32,"(14, 81)",1,22
58,D33,"(42, 88)",5,19
60,D34,"(87, 17)",4,27
61,D35,"(48, 58)",8,29
62,D36,"(98, 3)",7,24
66,D37,"(92, 78)",2,15
67,D38,"(24, 73)",0,18
69,D39,"(9, 98)",4,24
71,D40,"(53, 30)",9,21
72,D41,"(69, 58)",1,12
73,D42,"(23, 67)",8,29
74,D43,"(41, 65)",5,16
75,D44,"(12, 3)",5,30
78,D45,"(36, 94)",5,30
82,D46,"(63, 82)",9,22
84,D47,"(9, 81)",6,28
87,D48,"(42, 0)",0,21
91,D49,"(20, 55)",4,21
95,D50,"(48, 76)",7,24
96,D51,"(40, 93)",2,30
99,D52,"(29, 75)",1,24
