time_step,Task ID,"Task Position (x, y)",Urgency,Duration (min)
1,D1,"(42, 90)",8,27
2,D2,"(70, 24)",3,18
3,D3,"(13, 99)",1,17
6,D4,"(23, 60)",8,30
9,D5,"(15, 18)",8,11
10,D6,"(39, 24)",8,18
13,D7,"(8, 26)",4,14
14,D8,"(58, 25)",6,13
16,D9,"(90, 24)",8,16
18,D10,"(46, 69)",8,14
20,D11,"(66, 55)",0,22
22,D12,"(100, 24)",7,20
24,D13,"(5, 6)",3,11
25,D14,"(85, 95)",8,16
27,D15,"(62, 85)",5,22
30,D16,"(9, 24)",4,24
32,D17,"(90, 83)",4,30
35,D18,"(73, 42)",9,27
36,D19,"(71, 27)",7,29
37,D20,"(17, 64)",6,26
39,D21,"(72, 27)",0,23
40,D22,"(18, 4)",8,21
41,D23,"(22, 83)",9,30
46,D24,"(83, 65)",0,19
47,D25,"(17, 28)",1,24
48,D26,"(35, 4)",8,27
49,D27,"(41, 98)",4,27
50,D28,"(24, 16)",3,15
52,D29,"(50, 34)",3,25
54,D30,"(34, 80)",8,29
56,D31,"(83, 91)",7,27
57,D32,"(94, 32)",2,17
59,D33,"(74, 20)",9,30
60,D34,"(7, 3)",0,21
63,D35,"(31, 31)",4,23
66,D36,"(36, 17)",4,23
68,D37,"(91, 64)",6,10
69,D38,"(32, 69)",7,12
71,D39,"(18, 15)",0,10
72,D40,"(2, 91)",1,18
73,D41,"(59, 22)",8,18
79,D42,"(84, 93)",8,27
81,D43,"(7, 97)",4,29
84,D44,"(8, 56)",2,18
85,D45,"(5, 62)",0,21
87,D46,"(39, 28)",9,20
88,D47,"(91, 38)",8,16
90,D48,"(42, 27)",9,20
91,D49,"(6, 6)",9,25
95,D50,"(79, 65)",9,19
96,D51,"(60, 22)",2,12
98,D52,"(79, 15)",1,29
99,D53,"(49, 91)",5,10
