time_step,Task ID,"Task Position (x, y)",Urgency,Duration (min)
0,D1,"(16, 72)",6,15
2,D2,"(42, 3)",6,25
3,D3,"(95, 73)",4,29
5,D4,"(31, 36)",3,17
6,D5,"(47, 33)",5,18
8,D6,"(43, 25)",9,24
9,D7,"(56, 34)",9,24
12,D8,"(9, 37)",0,11
13,D9,"(91, 84)",6,21
14,D10,"(76, 82)",7,30
15,D11,"(53, 52)",8,17
21,D12,"(38, 47)",7,10
25,D13,"(49, 26)",6,23
31,D14,"(70, 31)",4,16
32,D15,"(70, 97)",1,26
34,D16,"(56, 62)",0,27
36,D17,"(6, 33)",6,10
37,D18,"(41, 78)",4,17
42,D19,"(15, 33)",6,13
43,D20,"(52, 45)",4,12
44,D21,"(21, 15)",6,30
45,D22,"(42, 86)",2,10
47,D23,"(30, 70)",0,25
52,D24,"(1, 91)",1,12
53,D25,"(55, 25)",3,13
56,D26,"(99, 39)",3,20
58,D27,"(11, 66)",8,24
62,D28,"(84, 12)",4,10
63,D29,"(26, 47)",1,22
69,D30,"(60, 42)",3,18
70,D31,"(41, 91)",7,17
77,D32,"(8, 69)",9,12
78,D33,"(2, 16)",8,12
80,D34,"(97, 97)",2,14
81,D35,"(92, 8)",7,18
83,D36,"(39, 47)",5,16
84,D37,"(56, 16)",7,21
85,D38,"(89, 37)",3,25
86,D39,"(7, 24)",4,23
87,D40,"(51, 28)",6,16
88,D41,"(94, 31)",2,19
89,D42,"(94, 73)",5,17
95,D43,"(56, 61)",2,18
97,D44,"(84, 25)",6,19
