time_step,Task ID,"Task Position (x, y)",Urgency,Duration (min)
2,D1,"(45, 34)",4,25
5,D2,"(40, 25)",1,23
7,D3,"(64, 91)",4,17
8,D4,"(46, 98)",2,16
9,D5,"(87, 64)",5,21
13,D6,"(85, 91)",6,14
18,D7,"(58, 21)",5,27
20,D8,"(33, 42)",5,17
21,D9,"(24, 30)",0,13
22,D10,"(72, 33)",6,15
24,D11,"(74, 5)",4,14
25,D12,"(27, 1)",3,12
26,D13,"(18, 39)",8,18
27,D14,"(9, 62)",3,30
30,D15,"(20, 72)",8,29
31,D16,"(60, 43)",1,19
33,D17,"(30, 17)",0,22
34,D18,"(68, 2)",7,15
36,D19,"(70, 87)",0,14
39,D20,"(51, 13)",3,30
40,D21,"(40, 1)",0,26
42,D22,"(62, 63)",1,12
43,D23,"(55, 99)",0,19
44,D24,"(43, 28)",7,23
45,D25,"(71, 83)",9,18
48,D26,"(20, 37)",1,30
49,D27,"(36, 56)",0,24
52,D28,"(29, 6)",4,15
53,D29,"(5, 86)",3,17
58,D30,"(15, 15)",9,15
59,D31,"(37, 92)",4,19
60,D32,"(31, 54)",3,14
64,D33,"(32, 90)",5,28
66,D34,"(49, 52)",0,26
67,D35,"(28, 65)",3,10
69,D36,"(68, 58)",3,29
71,D37,"(46, 88)",9,27
76,D38,"(63, 53)",1,17
77,D39,"(25, 80)",0,17
79,D40,"(42, 46)",9,23
83,D41,"(47, 7)",9,26
86,D42,"(36, 14)",6,26
89,D43,"(16, 63)",1,16
93,D44,"(47, 61)",4,17
95,D45,"(38, 87)",2,19
96,D46,"(57, 51)",3,11
97,D47,"(2, 41)",4,20
99,D48,"(96, 31)",0,26
