time_step,Task ID,"Task Position (x, y)",Urgency,Duration (min)
0,D1,"(70, 21)",5,13
2,D2,"(58, 6)",4,13
3,D3,"(3, 55)",2,16
4,D4,"(42, 65)",6,19
6,D5,"(82, 89)",7,29
7,D6,"(12, 56)",9,28
8,D7,"(35, 20)",5,20
10,D8,"(57, 81)",3,27
13,D9,"(64, 58)",2,30
23,D10,"(18, 96)",0,29
28,D11,"(79, 65)",1,10
31,D12,"(71, 93)",7,29
32,D13,"(34, 31)",4,20
37,D14,"(34, 8)",2,17
39,D15,"(2, 13)",3,24
42,D16,"(25, 74)",1,25
43,D17,"(97, 62)",4,27
45,D18,"(1, 52)",5,24
46,D19,"(85, 52)",7,12
49,D20,"(29, 37)",7,18
57,D21,"(46, 78)",7,23
59,D22,"(99, 24)",2,18
60,D23,"(41, 99)",3,19
61,D24,"(53, 3)",9,14
66,D25,"(12, 10)",9,20
68,D26,"(80, 82)",1,11
69,D27,"(28, 98)",9,26
70,D28,"(62, 28)",5,17
73,D29,"(13, 59)",5,25
74,D30,"(46, 85)",7,27
75,D31,"(93, 80)",4,22
77,D32,"(47, 26)",3,25
80,D33,"(45, 45)",7,24
81,D34,"(90, 27)",1,13
82,D35,"(31, 51)",2,18
84,D36,"(4, 23)",5,30
87,D37,"(52, 10)",0,26
88,D38,"(42, 56)",3,26
91,D39,"(76, 99)",3,20
92,D40,"(86, 19)",1,20
93,D41,"(92, 61)",0,26
94,D42,"(61, 4)",7,28
98,D43,"(8, 37)",5,14
