time_step,Task ID,"Task Position (x, y)",Urgency,Duration (min)
0,E1,"(11, 75)",4,25
5,E2,"(40, 62)",4,24
6,E3,"(7, 42)",0,30
7,E4,"(95, 74)",8,12
10,E5,"(60, 47)",0,30
11,E6,"(48, 71)",7,15
12,E7,"(3, 73)",6,13
13,E8,"(36, 13)",4,18
16,E9,"(55, 82)",1,21
17,E10,"(79, 4)",2,20
21,E11,"(8, 64)",2,26
26,E12,"(86, 52)",0,18
30,E13,"(0, 15)",5,21
32,E14,"(82, 64)",3,20
37,E15,"(16, 84)",7,17
39,E16,"(82, 28)",9,15
42,E17,"(73, 55)",7,21
45,E18,"(74, 73)",0,13
47,E19,"(43, 74)",3,20
49,E20,"(44, 87)",2,21
51,E21,"(38, 32)",2,27
54,E22,"(65, 93)",8,19
56,E23,"(33, 57)",4,27
57,E24,"(22, 36)",7,25
59,E25,"(61, 90)",0,22
60,E26,"(46, 72)",0,12
62,E27,"(31, 37)",1,12
63,E28,"(59, 16)",2,26
67,E29,"(54, 62)",4,16
68,E30,"(74, 23)",2,21
69,E31,"(51, 83)",1,29
70,E32,"(60, 27)",2,10
74,E33,"(44, 59)",8,10
77,E34,"(71, 40)",2,27
79,E35,"(41, 81)",5,22
80,E36,"(20, 12)",6,14
82,E37,"(28, 5)",3,13
84,E38,"(25, 40)",6,26
85,E39,"(85, 54)",4,29
89,E40,"(40, 53)",8,10
90,E41,"(70, 50)",3,25
91,E42,"(61, 57)",4,16
92,E43,"(56, 20)",2,16
93,E44,"(76, 58)",9,20
96,E45,"(84, 32)",8,23
98,E46,"(53, 82)",9,11
99,E47,"(48, 77)",3,11
