time_step,Task ID,"Task Position (x, y)",Urgency,Duration (min)
0,D1,"(32, 21)",5,21
2,D2,"(98, 67)",4,15
6,D3,"(90, 17)",7,29
8,D4,"(4, 40)",2,19
10,D5,"(76, 54)",8,20
12,D6,"(30, 1)",1,17
13,D7,"(13, 91)",7,20
17,D8,"(42, 14)",6,26
18,D9,"(25, 21)",9,28
19,D10,"(45, 14)",1,21
20,D11,"(68, 94)",3,11
21,D12,"(98, 42)",5,25
23,D13,"(53, 72)",8,24
25,D14,"(31, 70)",8,13
28,D15,"(100, 52)",6,14
29,D16,"(40, 63)",0,24
30,D17,"(71, 70)",3,10
31,D18,"(26, 28)",2,25
32,D19,"(2, 32)",8,19
33,D20,"(62, 64)",3,11
34,D21,"(13, 44)",0,29
35,D22,"(0, 8)",7,30
36,D23,"(61, 77)",9,21
37,D24,"(36, 26)",2,12
41,D25,"(16, 34)",7,12
42,D26,"(47, 72)",5,26
44,D27,"(41, 11)",6,24
45,D28,"(38, 88)",9,10
49,D29,"(60, 74)",8,19
52,D30,"(71, 6)",1,17
54,D31,"(36, 52)",2,10
56,D32,"(65, 0)",8,16
58,D33,"(74, 72)",1,14
59,D34,"(78, 54)",6,27
60,D35,"(79, 5)",4,22
62,D36,"(26, 57)",2,23
63,D37,"(71, 4)",0,14
64,D38,"(11, 62)",4,24
68,D39,"(10, 49)",0,26
69,D40,"(86, 28)",9,14
70,D41,"(32, 95)",8,23
73,D42,"(83, 51)",1,26
75,D43,"(10, 1)",8,12
79,D44,"(41, 43)",1,27
80,D45,"(91, 61)",0,30
82,D46,"(49, 64)",8,28
83,D47,"(13, 64)",7,20
85,D48,"(93, 17)",8,29
90,D49,"(24, 45)",5,13
91,D50,"(23, 75)",8,16
93,D51,"(7, 22)",0,28
96,D52,"(12, 90)",4,19
97,D53,"(92, 6)",4,15
99,D54,"(49, 76)",8,16
