time_step,Task ID,"Task Position (x, y)",Urgency,Duration (min)
2,D1,"(32, 1)",3,13
6,D2,"(75, 46)",6,19
7,D3,"(88, 74)",8,30
9,D4,"(72, 24)",0,10
10,D5,"(3, 48)",2,24
11,D6,"(10, 42)",7,25
13,D7,"(29, 39)",1,28
16,D8,"(11, 24)",5,15
19,D9,"(90, 17)",5,24
23,D10,"(79, 88)",9,22
24,D11,"(26, 18)",1,25
28,D12,"(15, 68)",3,25
31,D13,"(34, 28)",9,27
32,D14,"(45, 49)",9,12
33,D15,"(12, 36)",2,11
34,D16,"(81, 29)",4,13
36,D17,"(36, 12)",9,19
40,D18,"(9, 47)",7,12
41,D19,"(27, 87)",9,27
43,D20,"(40, 66)",6,21
48,D21,"(2, 6)",8,10
49,D22,"(85, 15)",6,12
50,D23,"(81, 44)",6,12
51,D24,"(64, 5)",4,18
57,D25,"(47, 83)",9,27
59,D26,"(55, 44)",2,29
60,D27,"(38, 92)",5,19
61,D28,"(72, 81)",6,23
62,D29,"(81, 16)",9,16
63,D30,"(26, 33)",6,11
64,D31,"(34, 99)",3,27
65,D32,"(95, 72)",6,29
66,D33,"(84, 100)",6,26
67,D34,"(71, 11)",8,11
68,D35,"(73, 15)",1,12
69,D36,"(0, 29)",7,30
73,D37,"(19, 24)",6,30
75,D38,"(25, 72)",9,30
76,D39,"(84, 76)",9,28
79,D40,"(83, 77)",5,14
82,D41,"(81, 34)",1,27
83,D42,"(67, 100)",7,19
84,D43,"(9, 30)",8,24
86,D44,"(63, 1)",8,23
87,D45,"(6, 88)",8,20
90,D46,"(49, 64)",3,12
92,D47,"(43, 91)",1,22
93,D48,"(80, 18)",3,10
95,D49,"(76, 9)",9,30
97,D50,"(25, 4)",3,24
98,D51,"(80, 33)",1,24
99,D52,"(26, 88)",6,11
