time_step,Task ID,"Task Position (x, y)",Urgency,Duration (min)
1,E1,"(12, 4)",3,17
2,E2,"(99, 59)",9,18
3,E3,"(90, 8)",3,29
4,E4,"(99, 66)",9,13
8,E5,"(70, 15)",9,17
9,E6,"(81, 21)",3,11
13,E7,"(21, 48)",9,21
16,E8,"(20, 84)",0,24
17,E9,"(10, 30)",7,22
18,E10,"(96, 35)",2,30
20,E11,"(25, 30)",4,12
26,E12,"(48, 68)",8,13
27,E13,"(60, 88)",4,20
28,E14,"(51, 74)",7,27
29,E15,"(31, 48)",2,17
31,E16,"(74, 64)",9,20
32,E17,"(46, 6)",1,14
33,E18,"(63, 5)",4,29
34,E19,"(30, 82)",3,10
35,E20,"(2, 85)",8,28
40,E21,"(16, 21)",1,25
41,E22,"(28, 34)",4,28
42,E23,"(49, 1)",4,24
43,E24,"(57, 69)",6,10
44,E25,"(8, 88)",6,17
45,E26,"(47, 63)",1,17
46,E27,"(84, 34)",8,28
48,E28,"(18, 9)",7,27
50,E29,"(53, 61)",8,20
54,E30,"(51, 27)",9,16
56,E31,"(20, 87)",9,23
57,E32,"(44, 67)",8,18
59,E33,"(38, 19)",7,21
63,E34,"(73, 0)",8,16
64,E35,"(70, 3)",3,20
65,E36,"(51, 55)",8,22
66,E37,"(55, 89)",8,26
67,E38,"(37, 31)",1,20
69,E39,"(72, 48)",6,11
71,E40,"(89, 80)",9,19
73,E41,"(50, 88)",1,27
79,E42,"(13, 88)",0,21
83,E43,"(38, 62)",4,25
87,E44,"(28, 21)",4,18
88,E45,"(34, 36)",7,28
89,E46,"(20, 48)",9,11
90,E47,"(44, 21)",4,28
93,E48,"(14, 18)",7,15
94,E49,"(77, 52)",8,19
95,E50,"(66, 37)",4,28
96,E51,"(32, 71)",9,30
97,E52,"(40, 64)",2,21
98,E53,"(43, 37)",9,28
