time_step,Task ID,"Task Position (x, y)",Urgency,Duration (min)
0,D1,"(63, 45)",9,30
5,D2,"(87, 50)",7,14
6,D3,"(91, 11)",9,19
8,D4,"(72, 65)",3,29
12,D5,"(68, 30)",0,15
13,D6,"(56, 48)",6,17
14,D7,"(34, 22)",2,16
16,D8,"(43, 89)",7,27
20,D9,"(28, 68)",8,25
23,D10,"(77, 89)",2,24
24,D11,"(21, 70)",9,20
25,D12,"(26, 13)",5,27
26,D13,"(13, 35)",4,25
30,D14,"(78, 71)",7,16
31,D15,"(11, 92)",2,19
32,D16,"(70, 11)",7,15
33,D17,"(99, 65)",8,16
34,D18,"(84, 53)",8,24
38,D19,"(56, 74)",7,12
39,D20,"(70, 93)",6,26
41,D21,"(66, 29)",4,27
43,D22,"(32, 22)",1,27
45,D23,"(84, 34)",0,11
46,D24,"(58, 46)",2,22
48,D25,"(53, 23)",9,23
49,D26,"(79, 51)",9,21
50,D27,"(67, 10)",0,20
51,D28,"(70, 87)",7,30
53,D29,"(54, 45)",6,23
55,D30,"(85, 71)",4,21
56,D31,"(25, 54)",4,15
57,D32,"(69, 13)",4,26
59,D33,"(20, 68)",1,11
62,D34,"(7, 78)",3,14
63,D35,"(72, 11)",2,30
65,D36,"(84, 5)",2,28
66,D37,"(41, 86)",1,12
68,D38,"(3, 44)",8,18
69,D39,"(31, 84)",7,14
73,D40,"(27, 36)",7,17
74,D41,"(12, 60)",0,16
76,D42,"(82, 17)",6,23
77,D43,"(4, 63)",1,26
78,D44,"(84, 74)",6,21
80,D45,"(18, 27)",2,12
88,D46,"(1, 99)",8,21
96,D47,"(16, 30)",7,19
99,D48,"(88, 19)",6,29
