time_step,Task ID,"Task Position (x, y)",Urgency,Duration (min)
1,D1,"(21, 0)",9,25
3,D2,"(19, 90)",6,12
5,D3,"(27, 94)",5,14
6,D4,"(62, 90)",6,12
7,D5,"(61, 30)",0,15
8,D6,"(80, 97)",0,29
10,D7,"(53, 94)",2,28
11,D8,"(15, 79)",8,18
12,D9,"(17, 81)",6,13
15,D10,"(62, 78)",9,24
16,D11,"(21, 21)",2,26
17,D12,"(18, 92)",2,14
18,D13,"(11, 26)",8,18
19,D14,"(68, 59)",5,14
20,D15,"(70, 60)",3,20
21,D16,"(25, 73)",7,24
23,D17,"(77, 95)",3,13
26,D18,"(60, 78)",1,27
33,D19,"(30, 60)",6,12
37,D20,"(45, 86)",0,23
38,D21,"(40, 84)",7,11
42,D22,"(55, 72)",7,23
45,D23,"(9, 1)",0,20
49,D24,"(78, 18)",4,20
50,D25,"(86, 22)",8,12
55,D26,"(1, 82)",7,17
57,D27,"(70, 57)",7,28
60,D28,"(34, 52)",0,10
62,D29,"(41, 75)",9,25
63,D30,"(73, 14)",6,26
64,D31,"(56, 33)",8,23
65,D32,"(70, 30)",3,21
67,D33,"(3, 25)",6,30
68,D34,"(98, 46)",9,21
69,D35,"(47, 25)",1,21
70,D36,"(20, 32)",3,23
71,D37,"(37, 18)",0,20
76,D38,"(95, 1)",4,18
77,D39,"(27, 83)",5,12
79,D40,"(58, 47)",9,11
80,D41,"(52, 52)",6,12
81,D42,"(17, 80)",9,17
83,D43,"(98, 61)",3,29
86,D44,"(6, 92)",7,19
87,D45,"(17, 35)",0,21
90,D46,"(81, 15)",4,12
95,D47,"(57, 55)",8,21
96,D48,"(66, 14)",8,30
97,D49,"(65, 79)",9,28
98,D50,"(54, 47)",7,12
