time_step,Task ID,"Task Position (x, y)",Urgency,Duration (min)
4,E1,"(6, 58)",5,10
5,E2,"(29, 25)",7,22
6,E3,"(94, 12)",7,27
8,E4,"(19, 20)",2,18
9,E5,"(69, 92)",5,11
11,E6,"(21, 96)",5,14
13,E7,"(44, 31)",3,14
17,E8,"(65, 32)",9,30
19,E9,"(91, 22)",6,23
20,E10,"(2, 61)",0,10
21,E11,"(85, 91)",9,24
22,E12,"(35, 95)",9,15
23,E13,"(43, 61)",1,26
24,E14,"(68, 99)",7,28
25,E15,"(25, 42)",0,17
26,E16,"(91, 36)",8,27
28,E17,"(64, 21)",3,23
29,E18,"(92, 25)",5,15
34,E19,"(93, 54)",0,22
35,E20,"(7, 33)",3,28
37,E21,"(73, 83)",7,30
38,E22,"(7, 42)",7,28
39,E23,"(62, 79)",3,11
42,E24,"(56, 42)",3,21
45,E25,"(54, 83)",4,16
49,E26,"(36, 3)",3,20
52,E27,"(87, 55)",3,18
53,E28,"(43, 14)",1,19
54,E29,"(2, 35)",2,29
56,E30,"(67, 10)",3,26
57,E31,"(42, 57)",8,16
64,E32,"(28, 22)",6,23
67,E33,"(19, 26)",8,12
69,E34,"(2, 92)",3,18
71,E35,"(95, 4)",6,16
74,E36,"(59, 25)",9,14
77,E37,"(99, 78)",6,22
78,E38,"(40, 4)",2,28
81,E39,"(74, 25)",9,20
83,E40,"(47, 16)",1,13
84,E41,"(13, 8)",0,27
86,E42,"(24, 16)",2,26
92,E43,"(30, 11)",8,25
94,E44,"(96, 30)",1,10
98,E45,"(72, 54)",6,23
99,E46,"(43, 80)",9,17
