time_step,Task ID,"Task Position (x, y)",Urgency,Duration (min)
3,E1,"(17, 88)",2,19
4,E2,"(14, 10)",9,16
5,E3,"(3, 58)",6,23
6,E4,"(26, 69)",4,24
11,E5,"(88, 15)",6,22
12,E6,"(51, 31)",3,23
13,E7,"(63, 20)",7,28
14,E8,"(29, 75)",3,22
16,E9,"(42, 82)",2,14
17,E10,"(27, 80)",0,12
19,E11,"(81, 52)",9,16
21,E12,"(8, 63)",2,30
24,E13,"(61, 21)",1,13
25,E14,"(3, 64)",1,28
27,E15,"(49, 3)",4,20
28,E16,"(98, 22)",2,14
30,E17,"(75, 51)",8,23
36,E18,"(95, 68)",1,12
37,E19,"(34, 43)",8,10
42,E20,"(24, 17)",2,14
43,E21,"(84, 70)",5,29
44,E22,"(50, 91)",3,12
45,E23,"(29, 77)",1,15
46,E24,"(48, 74)",3,15
47,E25,"(52, 47)",3,14
50,E26,"(47, 24)",6,20
53,E27,"(58, 52)",0,18
54,E28,"(76, 95)",0,27
55,E29,"(95, 26)",9,14
56,E30,"(35, 30)",6,12
59,E31,"(94, 11)",7,20
60,E32,"(62, 42)",5,26
64,E33,"(81, 59)",6,10
65,E34,"(99, 75)",9,18
68,E35,"(89, 37)",7,13
69,E36,"(87, 73)",1,17
71,E37,"(42, 99)",0,12
72,E38,"(7, 91)",7,22
76,E39,"(34, 75)",7,19
77,E40,"(29, 3)",2,23
78,E41,"(74, 31)",5,11
79,E42,"(50, 93)",1,13
80,E43,"(96, 25)",4,12
83,E44,"(14, 71)",4,19
87,E45,"(50, 94)",1,13
91,E46,"(67, 100)",5,13
98,E47,"(62, 51)",4,30
99,E48,"(45, 40)",1,20
