time_step,Task ID,"Task Position (x, y)",Urgency,Duration (min)
4,E1,"(88, 94)",7,17
5,E2,"(0, 86)",7,20
8,E3,"(80, 46)",3,25
11,E4,"(68, 91)",1,18
12,E5,"(87, 37)",6,12
15,E6,"(74, 69)",4,26
16,E7,"(66, 36)",0,25
17,E8,"(39, 61)",1,30
18,E9,"(41, 12)",1,11
22,E10,"(59, 96)",0,20
25,E11,"(18, 45)",0,30
27,E12,"(88, 98)",7,30
29,E13,"(83, 7)",2,26
30,E14,"(84, 7)",5,19
31,E15,"(46, 96)",0,29
33,E16,"(60, 1)",4,11
35,E17,"(52, 23)",3,27
36,E18,"(67, 7)",1,19
37,E19,"(83, 33)",5,29
38,E20,"(87, 1)",2,14
41,E21,"(87, 19)",1,11
42,E22,"(79, 83)",5,27
43,E23,"(60, 64)",1,20
47,E24,"(14, 58)",9,21
56,E25,"(43, 88)",8,22
58,E26,"(82, 26)",8,12
60,E27,"(41, 33)",2,22
61,E28,"(19, 80)",8,12
63,E29,"(16, 91)",7,14
64,E30,"(73, 63)",6,18
68,E31,"(13, 56)",3,27
69,E32,"(78, 47)",6,28
70,E33,"(56, 23)",9,16
73,E34,"(30, 68)",5,19
74,E35,"(55, 7)",6,12
75,E36,"(73, 23)",7,17
77,E37,"(36, 55)",2,27
78,E38,"(37, 9)",7,22
79,E39,"(7, 41)",0,28
80,E40,"(18, 28)",3,19
81,E41,"(55, 31)",1,19
82,E42,"(60, 18)",6,14
88,E43,"(93, 7)",1,18
89,E44,"(94, 44)",5,28
90,E45,"(31, 36)",6,28
94,E46,"(8, 95)",0,22
98,E47,"(85, 87)",3,26
99,E48,"(65, 84)",6,15
