time_step,Task ID,"Task Position (x, y)",Urgency,Duration (min)
0,D1,"(42, 71)",7,10
1,D2,"(73, 80)",9,11
2,D3,"(89, 6)",7,14
3,D4,"(23, 24)",5,22
4,D5,"(95, 35)",5,26
5,D6,"(49, 21)",5,14
8,D7,"(82, 54)",5,22
13,D8,"(82, 84)",7,14
15,D9,"(16, 100)",1,22
16,D10,"(21, 91)",2,17
18,D11,"(90, 13)",2,20
20,D12,"(72, 8)",8,25
21,D13,"(29, 88)",3,12
22,D14,"(33, 10)",3,25
24,D15,"(66, 12)",9,30
25,D16,"(16, 29)",7,24
28,D17,"(9, 90)",3,28
32,D18,"(96, 17)",5,18
34,D19,"(83, 57)",6,28
36,D20,"(20, 84)",8,29
38,D21,"(23, 100)",4,14
42,D22,"(53, 91)",4,30
43,D23,"(22, 12)",1,24
45,D24,"(12, 33)",3,19
46,D25,"(50, 43)",4,30
47,D26,"(17, 83)",7,29
48,D27,"(87, 92)",7,20
51,D28,"(45, 26)",6,24
53,D29,"(99, 46)",6,21
55,D30,"(92, 62)",6,15
56,D31,"(32, 59)",0,26
59,D32,"(10, 70)",4,13
61,D33,"(28, 53)",2,15
63,D34,"(91, 70)",5,11
65,D35,"(26, 15)",4,16
66,D36,"(13, 54)",6,20
73,D37,"(71, 43)",4,29
78,D38,"(80, 49)",1,26
79,D39,"(36, 9)",6,12
81,D40,"(90, 61)",8,29
83,D41,"(99, 18)",8,28
86,D42,"(37, 76)",7,14
87,D43,"(9, 21)",0,14
88,D44,"(7, 71)",8,18
89,D45,"(18, 86)",4,19
90,D46,"(19, 23)",7,11
91,D47,"(14, 16)",2,13
94,D48,"(89, 76)",7,12
95,D49,"(85, 58)",3,21
96,D50,"(44, 94)",1,25
97,D51,"(37, 51)",1,26
