time_step,Task ID,"Task Position (x, y)",Urgency,Duration (min)
1,D1,"(83, 59)",8,27
3,D2,"(91, 33)",0,11
5,D3,"(70, 2)",9,13
8,D4,"(11, 90)",7,25
9,D5,"(13, 89)",6,23
12,D6,"(68, 30)",9,10
13,D7,"(44, 61)",3,24
15,D8,"(22, 7)",3,28
16,D9,"(28, 34)",2,20
19,D10,"(63, 54)",4,20
21,D11,"(22, 42)",2,17
23,D12,"(52, 19)",5,22
25,D13,"(39, 73)",4,25
26,D14,"(87, 92)",6,26
28,D15,"(52, 21)",8,15
29,D16,"(69, 17)",2,26
30,D17,"(89, 69)",2,14
31,D18,"(46, 96)",9,21
33,D19,"(4, 50)",1,30
37,D20,"(57, 23)",0,29
39,D21,"(5, 36)",9,14
40,D22,"(61, 31)",4,19
41,D23,"(93, 41)",4,21
42,D24,"(4, 16)",9,22
43,D25,"(85, 45)",5,10
46,D26,"(62, 68)",7,15
47,D27,"(85, 27)",5,15
51,D28,"(93, 87)",8,19
53,D29,"(16, 62)",2,13
54,D30,"(84, 84)",8,18
56,D31,"(68, 47)",2,15
58,D32,"(63, 32)",0,11
59,D33,"(13, 84)",8,18
60,D34,"(43, 29)",7,23
61,D35,"(21, 87)",1,21
62,D36,"(37, 18)",7,29
63,D37,"(68, 51)",8,28
65,D38,"(71, 38)",9,29
66,D39,"(29, 38)",9,25
68,D40,"(65, 7)",9,22
70,D41,"(70, 60)",3,18
72,D42,"(8, 0)",5,20
74,D43,"(68, 76)",3,26
75,D44,"(70, 64)",3,24
77,D45,"(51, 12)",2,17
80,D46,"(4, 21)",8,13
81,D47,"(42, 90)",2,29
82,D48,"(10, 47)",1,22
83,D49,"(14, 95)",6,18
86,D50,"(40, 69)",3,18
87,D51,"(90, 100)",5,13
92,D52,"(90, 50)",9,18
94,D53,"(98, 82)",9,10
95,D54,"(57, 55)",9,11
96,D55,"(100, 18)",8,15
97,D56,"(0, 83)",7,11
