time_step,Task ID,"Task Position (x, y)",Urgency,Duration (min)
0,D1,"(48, 60)",6,30
3,D2,"(57, 48)",4,30
4,D3,"(14, 98)",4,28
5,D4,"(64, 73)",5,25
8,D5,"(11, 96)",0,16
9,D6,"(23, 16)",7,28
11,D7,"(1, 87)",2,27
14,D8,"(59, 21)",4,19
19,D9,"(91, 28)",0,29
23,D10,"(9, 56)",4,13
24,D11,"(42, 26)",1,21
25,D12,"(39, 6)",8,29
29,D13,"(48, 38)",1,19
31,D14,"(57, 23)",1,24
32,D15,"(13, 85)",2,21
36,D16,"(30, 56)",0,22
37,D17,"(15, 59)",8,23
38,D18,"(76, 27)",2,18
40,D19,"(63, 21)",6,15
42,D20,"(21, 14)",0,17
43,D21,"(27, 77)",4,15
45,D22,"(53, 42)",5,18
47,D23,"(27, 28)",1,19
48,D24,"(16, 8)",9,10
51,D25,"(64, 88)",6,29
56,D26,"(5, 33)",0,21
58,D27,"(31, 78)",7,24
60,D28,"(65, 83)",8,29
65,D29,"(50, 59)",4,17
66,D30,"(33, 5)",8,19
69,D31,"(27, 29)",2,13
73,D32,"(56, 65)",1,13
74,D33,"(15, 4)",8,29
77,D34,"(70, 89)",6,13
85,D35,"(91, 52)",3,14
86,D36,"(27, 26)",3,18
91,D37,"(57, 14)",4,30
93,D38,"(21, 55)",6,10
96,D39,"(48, 26)",6,30
97,D40,"(14, 85)",4,19
98,D41,"(78, 30)",7,10
99,D42,"(5, 56)",1,11
