time_step,Task ID,"Task Position (x, y)",Urgency,Duration (min)
0,E1,"(78, 83)",1,11
3,E2,"(76, 70)",7,20
4,E3,"(35, 6)",0,24
7,E4,"(91, 67)",7,13
11,E5,"(74, 67)",4,10
12,E6,"(51, 96)",3,19
13,E7,"(57, 2)",6,26
15,E8,"(15, 41)",5,18
16,E9,"(65, 92)",0,20
20,E10,"(90, 76)",8,21
23,E11,"(62, 92)",8,14
25,E12,"(3, 32)",0,15
26,E13,"(26, 82)",5,15
28,E14,"(14, 73)",7,20
31,E15,"(68, 64)",7,25
32,E16,"(7, 37)",9,27
33,E17,"(69, 23)",6,29
34,E18,"(63, 22)",8,24
35,E19,"(14, 23)",9,10
38,E20,"(4, 47)",4,14
40,E21,"(24, 23)",2,28
42,E22,"(35, 66)",8,30
43,E23,"(51, 56)",9,12
44,E24,"(77, 93)",7,19
51,E25,"(73, 48)",1,24
54,E26,"(66, 50)",8,15
55,E27,"(1, 14)",0,11
56,E28,"(38, 27)",9,17
57,E29,"(53, 29)",8,12
58,E30,"(76, 70)",1,13
61,E31,"(4, 99)",9,20
69,E32,"(14, 35)",0,26
70,E33,"(17, 53)",4,14
71,E34,"(19, 22)",8,24
73,E35,"(3, 79)",3,10
74,E36,"(68, 12)",2,17
75,E37,"(79, 95)",0,27
77,E38,"(61, 88)",0,23
78,E39,"(24, 73)",3,25
79,E40,"(58, 2)",5,26
82,E41,"(94, 72)",8,18
83,E42,"(79, 19)",5,11
85,E43,"(51, 61)",4,19
86,E44,"(77, 67)",0,10
87,E45,"(36, 7)",9,30
92,E46,"(94, 63)",0,28
93,E47,"(19, 50)",8,27
95,E48,"(11, 75)",3,15
