time_step,Task ID,"Task Position (x, y)",Urgency,Duration (min)
1,D1,"(55, 59)",7,22
5,D2,"(17, 68)",3,26
7,D3,"(26, 23)",1,16
9,D4,"(33, 60)",4,26
10,D5,"(89, 30)",8,26
11,D6,"(9, 30)",0,18
12,D7,"(8, 1)",1,15
13,D8,"(96, 46)",5,11
16,D9,"(16, 10)",6,18
17,D10,"(27, 26)",1,22
18,D11,"(13, 100)",1,12
21,D12,"(23, 25)",9,24
26,D13,"(90, 57)",3,21
30,D14,"(76, 9)",2,28
31,D15,"(32, 82)",6,18
35,D16,"(95, 71)",3,24
38,D17,"(27, 14)",0,25
39,D18,"(21, 32)",7,10
42,D19,"(1, 2)",0,29
43,D20,"(5, 54)",7,27
44,D21,"(94, 47)",9,23
46,D22,"(31, 17)",1,28
47,D23,"(44, 13)",7,17
50,D24,"(64, 11)",5,11
51,D25,"(9, 73)",7,25
53,D26,"(61, 15)",6,27
54,D27,"(53, 55)",3,11
57,D28,"(44, 53)",7,23
58,D29,"(66, 28)",6,18
59,D30,"(21, 9)",8,22
61,D31,"(60, 81)",8,10
62,D32,"(40, 18)",6,30
65,D33,"(49, 53)",1,13
68,D34,"(99, 44)",3,27
70,D35,"(88, 66)",4,12
71,D36,"(39, 76)",1,26
75,D37,"(42, 50)",4,10
78,D38,"(31, 77)",2,15
80,D39,"(18, 84)",2,20
81,D40,"(1, 96)",0,13
84,D41,"(4, 66)",9,22
85,D42,"(64, 17)",9,19
86,D43,"(93, 96)",1,20
87,D44,"(38, 63)",2,22
93,D45,"(73, 68)",0,17
95,D46,"(21, 75)",8,13
