time_step,Task ID,"Task Position (x, y)",Urgency,Duration (min)
1,D1,"(26, 56)",1,11
2,D2,"(41, 9)",2,30
9,D3,"(79, 89)",1,22
10,D4,"(75, 0)",4,20
14,D5,"(29, 0)",7,10
17,D6,"(5, 44)",3,24
18,D7,"(60, 59)",6,10
20,D8,"(26, 59)",8,13
25,D9,"(15, 82)",1,25
27,D10,"(76, 94)",4,24
30,D11,"(13, 24)",9,13
32,D12,"(86, 88)",9,24
33,D13,"(78, 73)",5,16
34,D14,"(100, 16)",1,27
36,D15,"(96, 83)",2,23
40,D16,"(40, 64)",3,28
41,D17,"(41, 13)",9,21
42,D18,"(2, 24)",8,19
44,D19,"(6, 85)",1,19
45,D20,"(15, 65)",5,10
46,D21,"(31, 77)",7,19
47,D22,"(50, 25)",7,19
48,D23,"(63, 97)",2,11
50,D24,"(30, 63)",8,24
52,D25,"(19, 91)",2,16
53,D26,"(52, 47)",2,30
54,D27,"(2, 2)",9,23
55,D28,"(94, 5)",5,28
56,D29,"(69, 81)",6,12
57,D30,"(12, 40)",4,18
58,D31,"(69, 98)",1,13
59,D32,"(58, 89)",4,23
61,D33,"(54, 76)",7,19
62,D34,"(26, 33)",2,13
63,D35,"(88, 69)",0,18
64,D36,"(37, 59)",1,12
65,D37,"(79, 72)",6,29
67,D38,"(75, 6)",5,14
71,D39,"(32, 8)",7,14
74,D40,"(26, 5)",4,29
79,D41,"(44, 5)",7,19
82,D42,"(50, 61)",7,16
84,D43,"(30, 6)",6,12
88,D44,"(36, 99)",2,23
89,D45,"(13, 17)",3,22
92,D46,"(77, 0)",8,26
93,D47,"(77, 94)",5,27
98,D48,"(40, 87)",1,30
99,D49,"(35, 91)",9,24
