time_step,Task ID,"Task Position (x, y)",Urgency,Duration (min)
1,D1,"(78, 64)",1,21
2,D2,"(5, 86)",7,29
3,D3,"(97, 44)",1,19
8,D4,"(36, 31)",3,28
10,D5,"(94, 65)",5,11
11,D6,"(88, 36)",5,27
15,D7,"(71, 93)",4,11
17,D8,"(98, 60)",0,16
20,D9,"(57, 80)",5,24
22,D10,"(98, 12)",3,22
24,D11,"(21, 70)",7,14
26,D12,"(22, 12)",8,25
27,D13,"(27, 98)",4,22
30,D14,"(99, 5)",0,29
31,D15,"(52, 78)",1,22
33,D16,"(8, 43)",3,12
34,D17,"(18, 76)",9,18
35,D18,"(9, 72)",8,25
36,D19,"(34, 52)",5,25
40,D20,"(82, 3)",0,27
42,D21,"(50, 23)",1,17
45,D22,"(64, 59)",8,17
46,D23,"(67, 19)",1,11
47,D24,"(89, 68)",9,27
48,D25,"(6, 1)",3,12
51,D26,"(30, 78)",4,29
52,D27,"(66, 81)",1,25
53,D28,"(89, 61)",7,25
54,D29,"(34, 39)",8,12
56,D30,"(71, 81)",1,15
61,D31,"(14, 57)",2,10
62,D32,"(59, 2)",9,18
63,D33,"(27, 4)",6,25
66,D34,"(39, 87)",8,28
67,D35,"(2, 56)",5,22
74,D36,"(65, 69)",9,14
75,D37,"(63, 57)",5,19
77,D38,"(41, 40)",6,30
78,D39,"(8, 71)",7,16
79,D40,"(92, 36)",7,26
81,D41,"(25, 16)",7,16
83,D42,"(80, 96)",6,15
85,D43,"(30, 11)",9,27
86,D44,"(38, 56)",7,29
88,D45,"(17, 65)",7,15
91,D46,"(30, 34)",8,20
93,D47,"(17, 65)",5,25
99,D48,"(39, 49)",2,19
