time_step,Task ID,"Task Position (x, y)",Urgency,Duration (min)
0,D1,"(75, 60)",6,25
3,D2,"(84, 67)",3,22
4,D3,"(30, 84)",7,19
6,D4,"(17, 13)",9,24
8,D5,"(60, 92)",3,20
9,D6,"(1, 65)",6,30
10,D7,"(47, 43)",5,24
11,D8,"(65, 54)",1,30
12,D9,"(75, 27)",1,15
13,D10,"(35, 35)",9,15
14,D11,"(41, 55)",0,29
17,D12,"(17, 33)",1,20
18,D13,"(17, 10)",3,17
19,D14,"(90, 18)",3,22
20,D15,"(38, 4)",1,15
21,D16,"(74, 73)",9,13
22,D17,"(97, 100)",7,22
26,D18,"(91, 16)",3,11
27,D19,"(73, 49)",8,15
28,D20,"(29, 24)",8,25
29,D21,"(60, 60)",4,30
31,D22,"(80, 82)",0,25
33,D23,"(85, 31)",2,21
37,D24,"(16, 21)",3,29
39,D25,"(89, 50)",9,28
44,D26,"(38, 68)",7,13
47,D27,"(22, 30)",4,21
48,D28,"(41, 59)",3,10
52,D29,"(32, 25)",2,27
54,D30,"(99, 84)",7,12
55,D31,"(21, 99)",5,23
56,D32,"(36, 93)",3,11
57,D33,"(19, 89)",7,20
59,D34,"(92, 80)",2,25
60,D35,"(31, 23)",3,18
61,D36,"(38, 10)",9,17
62,D37,"(31, 31)",9,20
64,D38,"(6, 53)",9,17
66,D39,"(10, 19)",2,18
69,D40,"(62, 39)",8,26
71,D41,"(70, 59)",2,14
72,D42,"(88, 45)",4,30
76,D43,"(16, 3)",4,29
78,D44,"(98, 85)",5,26
79,D45,"(16, 62)",1,24
80,D46,"(38, 35)",0,30
85,D47,"(44, 90)",3,19
88,D48,"(8, 29)",1,14
92,D49,"(55, 23)",1,11
93,D50,"(55, 21)",7,21
94,D51,"(25, 78)",6,18
98,D52,"(88, 28)",7,11
99,D53,"(88, 86)",3,28
