time_step,Task ID,"Task Position (x, y)",Urgency,Duration (min)
0,D1,"(64, 69)",0,29
1,D2,"(59, 77)",8,15
2,D3,"(97, 74)",6,13
5,D4,"(43, 56)",9,29
7,D5,"(53, 81)",1,20
8,D6,"(45, 13)",0,12
9,D7,"(85, 48)",8,21
10,D8,"(18, 6)",4,10
14,D9,"(42, 57)",5,18
15,D10,"(17, 84)",3,30
19,D11,"(98, 47)",0,23
21,D12,"(68, 0)",6,24
26,D13,"(79, 74)",0,28
27,D14,"(81, 99)",8,24
28,D15,"(68, 63)",7,10
30,D16,"(96, 41)",1,22
32,D17,"(72, 82)",2,29
33,D18,"(63, 59)",1,30
36,D19,"(58, 43)",5,16
39,D20,"(71, 7)",0,17
40,D21,"(55, 10)",4,14
41,D22,"(77, 65)",4,18
43,D23,"(44, 45)",6,30
44,D24,"(97, 17)",7,18
47,D25,"(100, 81)",7,13
48,D26,"(58, 73)",0,16
50,D27,"(44, 99)",1,23
53,D28,"(12, 5)",0,17
55,D29,"(67, 78)",4,15
58,D30,"(18, 17)",5,27
67,D31,"(64, 28)",8,13
71,D32,"(71, 14)",1,22
79,D33,"(23, 10)",2,16
80,D34,"(52, 86)",9,10
81,D35,"(56, 24)",4,29
82,D36,"(68, 11)",4,30
83,D37,"(37, 100)",1,10
87,D38,"(7, 84)",8,15
88,D39,"(22, 5)",9,26
92,D40,"(68, 94)",8,19
93,D41,"(30, 83)",4,26
94,D42,"(36, 88)",1,29
96,D43,"(87, 94)",1,21
99,D44,"(49, 86)",5,28
