time_step,Task ID,"Task Position (x, y)",Urgency,Duration (min)
4,D1,"(77, 31)",6,18
5,D2,"(57, 49)",1,25
6,D3,"(48, 77)",7,10
8,D4,"(12, 71)",5,14
9,D5,"(54, 29)",7,15
13,D6,"(21, 94)",1,15
15,D7,"(83, 34)",1,12
24,D8,"(84, 20)",8,18
25,D9,"(56, 94)",1,26
26,D10,"(81, 37)",5,25
27,D11,"(47, 100)",5,14
28,D12,"(11, 19)",4,30
30,D13,"(87, 35)",8,16
31,D14,"(79, 25)",3,10
32,D15,"(11, 92)",6,30
34,D16,"(7, 35)",5,14
37,D17,"(40, 20)",7,24
38,D18,"(73, 6)",2,14
40,D19,"(89, 30)",2,30
45,D20,"(36, 49)",8,29
47,D21,"(82, 15)",0,19
48,D22,"(70, 58)",3,15
55,D23,"(36, 92)",8,30
56,D24,"(7, 93)",2,25
60,D25,"(97, 15)",2,14
61,D26,"(48, 38)",2,13
62,D27,"(1, 32)",8,14
64,D28,"(52, 100)",3,22
65,D29,"(98, 5)",5,26
71,D30,"(50, 87)",4,16
72,D31,"(70, 25)",8,29
74,D32,"(47, 92)",3,29
76,D33,"(53, 0)",9,17
78,D34,"(14, 59)",4,19
82,D35,"(10, 83)",6,12
85,D36,"(4, 73)",8,27
86,D37,"(62, 8)",2,28
87,D38,"(25, 81)",6,13
90,D39,"(48, 22)",3,26
91,D40,"(29, 57)",0,30
93,D41,"(18, 63)",0,19
95,D42,"(100, 31)",8,13
96,D43,"(53, 8)",9,16
99,D44,"(61, 23)",6,19
