time_step,Task ID,"Task Position (x, y)",Urgency,Duration (min)
0,D1,"(46, 25)",0,28
6,D2,"(46, 46)",8,12
7,D3,"(61, 6)",3,25
9,D4,"(41, 26)",1,18
10,D5,"(40, 59)",0,26
12,D6,"(67, 100)",9,30
20,D7,"(29, 2)",4,25
21,D8,"(73, 12)",6,19
23,D9,"(61, 60)",2,10
24,D10,"(84, 58)",4,18
26,D11,"(30, 58)",3,16
32,D12,"(76, 15)",5,25
36,D13,"(21, 1)",1,13
37,D14,"(93, 99)",1,27
38,D15,"(62, 16)",2,27
39,D16,"(90, 65)",3,24
51,D17,"(31, 21)",8,26
56,D18,"(6, 60)",4,12
57,D19,"(36, 97)",0,13
59,D20,"(15, 78)",9,22
61,D21,"(93, 87)",6,14
63,D22,"(0, 78)",6,30
65,D23,"(50, 34)",4,12
66,D24,"(15, 67)",0,27
68,D25,"(27, 51)",7,16
69,D26,"(90, 50)",9,22
70,D27,"(88, 28)",1,14
71,D28,"(65, 64)",6,14
72,D29,"(48, 0)",4,25
73,D30,"(63, 0)",9,30
75,D31,"(96, 68)",1,18
76,D32,"(69, 2)",3,16
80,D33,"(54, 83)",4,29
81,D34,"(85, 6)",1,20
82,D35,"(93, 91)",7,12
83,D36,"(59, 1)",9,11
85,D37,"(28, 89)",7,23
89,D38,"(82, 3)",5,11
94,D39,"(92, 14)",0,18
96,D40,"(18, 97)",1,14
97,D41,"(48, 75)",0,14
98,D42,"(50, 76)",5,30
99,D43,"(73, 27)",3,20
