time_step,Task ID,"Task Position (x, y)",Urgency,Duration (min)
0,E1,"(58, 84)",2,29
3,E2,"(12, 82)",3,27
4,E3,"(44, 83)",8,18
7,E4,"(66, 68)",6,29
8,E5,"(24, 38)",3,14
9,E6,"(59, 16)",4,12
13,E7,"(94, 27)",3,28
14,E8,"(56, 13)",8,12
21,E9,"(96, 53)",1,25
22,E10,"(73, 58)",4,22
28,E11,"(80, 94)",7,14
32,E12,"(86, 39)",3,18
33,E13,"(35, 29)",9,21
35,E14,"(45, 34)",7,12
37,E15,"(22, 30)",1,25
38,E16,"(5, 58)",8,27
39,E17,"(24, 68)",0,11
40,E18,"(24, 37)",2,24
42,E19,"(56, 38)",7,18
44,E20,"(75, 12)",7,23
45,E21,"(43, 77)",5,19
47,E22,"(76, 45)",6,21
49,E23,"(24, 1)",4,11
50,E24,"(52, 22)",9,27
53,E25,"(63, 78)",5,28
58,E26,"(27, 88)",8,23
59,E27,"(7, 90)",6,24
60,E28,"(39, 16)",9,20
61,E29,"(94, 80)",6,29
63,E30,"(25, 75)",3,30
66,E31,"(43, 19)",1,10
67,E32,"(67, 43)",6,21
68,E33,"(92, 28)",6,26
69,E34,"(5, 38)",4,12
70,E35,"(72, 93)",5,25
71,E36,"(35, 37)",8,27
72,E37,"(55, 81)",2,10
76,E38,"(43, 78)",6,14
78,E39,"(21, 32)",6,23
80,E40,"(91, 73)",3,13
81,E41,"(95, 63)",5,27
84,E42,"(80, 39)",8,24
85,E43,"(44, 46)",1,11
86,E44,"(79, 62)",6,10
87,E45,"(8, 89)",1,14
88,E46,"(32, 32)",9,18
93,E47,"(25, 38)",5,25
98,E48,"(44, 86)",9,11
99,E49,"(89, 84)",9,22
