time_step,Task ID,"Task Position (x, y)",Urgency,Duration (min)
4,D1,"(8, 27)",9,20
5,D2,"(63, 50)",7,14
6,D3,"(31, 95)",8,27
7,D4,"(74, 54)",9,22
8,D5,"(17, 65)",7,12
11,D6,"(20, 87)",6,29
12,D7,"(48, 76)",7,26
13,D8,"(70, 1)",1,27
16,D9,"(37, 55)",2,24
17,D10,"(92, 92)",4,26
20,D11,"(81, 64)",9,16
21,D12,"(97, 20)",8,26
24,D13,"(14, 46)",4,17
25,D14,"(72, 10)",1,25
27,D15,"(60, 70)",2,18
33,D16,"(85, 83)",5,24
34,D17,"(28, 8)",5,10
36,D18,"(28, 0)",1,30
37,D19,"(8, 4)",5,12
39,D20,"(62, 27)",8,14
41,D21,"(9, 56)",8,13
43,D22,"(74, 61)",8,26
44,D23,"(65, 10)",2,12
47,D24,"(15, 72)",3,28
59,D25,"(91, 25)",1,28
60,D26,"(93, 75)",4,20
62,D27,"(12, 24)",4,17
65,D28,"(29, 86)",9,28
66,D29,"(98, 51)",8,10
67,D30,"(15, 82)",2,25
69,D31,"(18, 52)",2,12
71,D32,"(84, 50)",4,10
72,D33,"(96, 28)",6,27
79,D34,"(56, 53)",4,16
86,D35,"(88, 98)",9,15
89,D36,"(18, 37)",6,10
90,D37,"(25, 5)",5,19
91,D38,"(5, 93)",5,29
92,D39,"(99, 33)",7,16
95,D40,"(30, 59)",1,18
99,D41,"(31, 35)",8,19
