time_step,Task ID,"Task Position (x, y)",Urgency,Duration (min)
0,D1,"(69, 37)",6,14
1,D2,"(69, 72)",4,22
4,D3,"(97, 59)",2,21
5,D4,"(19, 40)",2,26
6,D5,"(15, 12)",9,19
10,D6,"(51, 7)",1,14
13,D7,"(75, 82)",4,15
14,D8,"(8, 11)",9,30
18,D9,"(22, 64)",5,18
19,D10,"(31, 59)",2,12
20,D11,"(21, 82)",9,25
21,D12,"(66, 51)",5,12
24,D13,"(38, 37)",1,25
25,D14,"(73, 71)",4,26
27,D15,"(28, 68)",2,24
28,D16,"(91, 31)",1,14
29,D17,"(66, 98)",6,23
33,D18,"(88, 64)",7,27
34,D19,"(96, 85)",6,24
35,D20,"(20, 26)",0,24
36,D21,"(35, 26)",9,17
38,D22,"(97, 2)",4,26
39,D23,"(44, 22)",4,10
40,D24,"(72, 99)",9,10
42,D25,"(11, 96)",8,11
48,D26,"(62, 5)",6,23
52,D27,"(87, 5)",2,22
53,D28,"(30, 14)",0,13
57,D29,"(49, 89)",9,11
58,D30,"(56, 16)",8,24
62,D31,"(16, 73)",1,15
64,D32,"(0, 1)",8,11
65,D33,"(24, 36)",7,22
66,D34,"(31, 42)",9,21
67,D35,"(92, 5)",0,23
68,D36,"(32, 44)",4,30
69,D37,"(72, 67)",8,25
70,D38,"(19, 72)",3,29
72,D39,"(53, 38)",7,17
74,D40,"(39, 96)",5,17
75,D41,"(86, 37)",8,22
77,D42,"(65, 89)",8,17
78,D43,"(44, 40)",7,30
81,D44,"(67, 2)",8,14
82,D45,"(97, 80)",3,21
83,D46,"(60, 98)",7,19
84,D47,"(47, 17)",7,15
87,D48,"(92, 90)",7,24
90,D49,"(30, 25)",3,22
91,D50,"(89, 16)",1,12
94,D51,"(73, 73)",0,25
96,D52,"(15, 83)",8,26
97,D53,"(24, 43)",9,13
99,D54,"(2, 46)",1,24
