time_step,Task ID,"Task Position (x, y)",Urgency,Duration (min)
0,E1,"(83, 36)",1,14
1,E2,"(47, 80)",7,17
3,E3,"(32, 57)",2,21
5,E4,"(36, 24)",4,13
6,E5,"(66, 95)",5,10
11,E6,"(42, 34)",0,26
12,E7,"(52, 86)",7,16
13,E8,"(11, 29)",5,17
15,E9,"(86, 57)",1,25
19,E10,"(32, 15)",6,12
21,E11,"(69, 34)",6,20
22,E12,"(62, 99)",0,21
24,E13,"(0, 16)",9,14
26,E14,"(47, 100)",9,25
27,E15,"(37, 77)",2,10
31,E16,"(33, 23)",2,30
33,E17,"(48, 79)",3,17
34,E18,"(41, 89)",1,16
36,E19,"(1, 76)",8,20
37,E20,"(72, 9)",5,15
38,E21,"(15, 1)",7,13
39,E22,"(11, 91)",7,12
40,E23,"(92, 82)",2,26
42,E24,"(83, 65)",1,16
43,E25,"(3, 85)",7,26
44,E26,"(80, 90)",0,10
46,E27,"(96, 13)",8,18
51,E28,"(63, 82)",4,10
52,E29,"(7, 19)",5,24
53,E30,"(52, 49)",7,29
57,E31,"(88, 19)",1,17
58,E32,"(9, 49)",3,11
62,E33,"(0, 30)",6,18
63,E34,"(96, 5)",6,14
65,E35,"(49, 12)",6,15
68,E36,"(97, 29)",6,10
69,E37,"(17, 98)",3,26
74,E38,"(64, 36)",2,25
75,E39,"(58, 100)",6,17
78,E40,"(14, 70)",3,11
79,E41,"(6, 44)",7,16
80,E42,"(84, 73)",7,16
85,E43,"(32, 38)",4,19
88,E44,"(87, 30)",9,23
89,E45,"(79, 13)",1,27
90,E46,"(89, 85)",5,22
91,E47,"(24, 1)",2,11
92,E48,"(78, 46)",3,21
96,E49,"(75, 45)",1,27
97,E50,"(71, 69)",1,23
