time_step,Task ID,"Task Position (x, y)",Urgency,Duration (min)
1,D1,"(33, 100)",3,12
9,D2,"(36, 99)",3,11
10,D3,"(11, 12)",6,30
14,D4,"(94, 3)",7,27
16,D5,"(11, 50)",7,20
17,D6,"(87, 95)",3,20
18,D7,"(26, 30)",3,13
21,D8,"(49, 15)",9,21
22,D9,"(24, 28)",2,11
24,D10,"(52, 37)",4,28
28,D11,"(18, 21)",6,20
29,D12,"(95, 94)",1,24
30,D13,"(89, 7)",5,29
34,D14,"(81, 57)",6,18
36,D15,"(21, 90)",0,14
37,D16,"(27, 22)",5,16
39,D17,"(22, 49)",7,13
41,D18,"(7, 37)",7,10
43,D19,"(100, 93)",3,12
44,D20,"(32, 18)",8,11
45,D21,"(12, 6)",1,16
48,D22,"(50, 4)",1,17
50,D23,"(11, 89)",7,30
52,D24,"(8, 12)",6,12
54,D25,"(61, 90)",0,26
56,D26,"(82, 62)",1,27
58,D27,"(7, 15)",6,27
59,D28,"(51, 94)",6,30
60,D29,"(53, 90)",9,19
61,D30,"(32, 10)",8,11
62,D31,"(45, 50)",7,15
65,D32,"(76, 75)",6,30
70,D33,"(43, 26)",7,17
75,D34,"(34, 45)",2,13
77,D35,"(44, 33)",7,30
78,D36,"(89, 31)",9,27
83,D37,"(90, 15)",2,13
86,D38,"(22, 34)",1,27
88,D39,"(45, 58)",9,29
90,D40,"(27, 4)",8,15
91,D41,"(26, 60)",4,22
92,D42,"(66, 44)",8,17
93,D43,"(60, 14)",5,25
94,D44,"(44, 56)",3,23
96,D45,"(24, 75)",1,19
97,D46,"(61, 88)",8,22
98,D47,"(44, 25)",9,17
