time_step,Task ID,"Task Position (x, y)",Urgency,Duration (min)
0,E1,"(94, 26)",0,14
1,E2,"(17, 32)",0,27
2,E3,"(38, 19)",9,27
3,E4,"(26, 57)",1,20
5,E5,"(48, 12)",9,30
7,E6,"(17, 76)",7,15
8,E7,"(26, 27)",5,30
10,E8,"(52, 93)",7,17
12,E9,"(77, 42)",7,14
14,E10,"(53, 98)",1,27
15,E11,"(69, 87)",1,26
21,E12,"(63, 7)",6,23
23,E13,"(22, 10)",2,18
26,E14,"(30, 99)",2,17
27,E15,"(28, 7)",0,26
29,E16,"(40, 1)",8,11
30,E17,"(47, 77)",8,30
34,E18,"(84, 0)",9,13
35,E19,"(89, 65)",9,15
36,E20,"(4, 22)",3,18
37,E21,"(94, 80)",9,25
38,E22,"(84, 72)",3,12
39,E23,"(89, 2)",7,11
40,E24,"(34, 93)",8,24
41,E25,"(21, 94)",1,18
44,E26,"(86, 69)",1,19
45,E27,"(32, 35)",4,26
48,E28,"(70, 77)",1,14
49,E29,"(60, 7)",4,22
50,E30,"(68, 86)",3,21
51,E31,"(3, 1)",2,11
52,E32,"(100, 92)",9,27
53,E33,"(25, 14)",0,10
61,E34,"(41, 18)",5,15
62,E35,"(19, 4)",7,22
63,E36,"(60, 55)",9,27
65,E37,"(55, 30)",4,20
66,E38,"(44, 53)",9,19
71,E39,"(96, 9)",1,28
74,E40,"(38, 5)",5,12
75,E41,"(90, 57)",0,14
80,E42,"(22, 87)",1,27
83,E43,"(53, 54)",2,11
85,E44,"(91, 48)",7,13
86,E45,"(77, 72)",1,26
87,E46,"(60, 25)",5,26
88,E47,"(96, 64)",3,17
89,E48,"(23, 49)",1,16
91,E49,"(6, 30)",7,14
93,E50,"(23, 36)",1,22
94,E51,"(76, 71)",6,20
98,E52,"(20, 81)",2,30
99,E53,"(58, 67)",9,28
