time_step,Task ID,"Task Position (x, y)",Urgency,Duration (min)
0,E1,"(32, 29)",2,19
1,E2,"(83, 9)",1,28
6,E3,"(22, 28)",4,13
9,E4,"(38, 88)",6,16
12,E5,"(75, 87)",5,19
13,E6,"(95, 28)",4,13
16,E7,"(3, 3)",9,18
19,E8,"(54, 35)",3,21
23,E9,"(33, 14)",7,30
24,E10,"(42, 11)",3,13
25,E11,"(39, 42)",5,18
26,E12,"(84, 77)",9,15
29,E13,"(56, 82)",6,25
30,E14,"(81, 57)",3,30
35,E15,"(80, 46)",4,24
37,E16,"(26, 28)",9,21
39,E17,"(17, 89)",1,27
42,E18,"(10, 13)",8,22
43,E19,"(56, 70)",1,11
44,E20,"(81, 67)",2,26
47,E21,"(65, 34)",3,15
53,E22,"(81, 19)",4,13
55,E23,"(27, 11)",7,20
59,E24,"(58, 0)",7,10
60,E25,"(47, 60)",9,16
61,E26,"(96, 68)",6,24
63,E27,"(30, 29)",8,23
64,E28,"(58, 94)",8,21
70,E29,"(56, 17)",8,18
71,E30,"(66, 45)",8,30
72,E31,"(64, 59)",7,25
74,E32,"(64, 72)",8,18
76,E33,"(29, 74)",0,28
77,E34,"(27, 34)",3,22
79,E35,"(77, 15)",6,21
80,E36,"(81, 24)",2,18
81,E37,"(97, 73)",9,23
82,E38,"(30, 56)",2,20
84,E39,"(11, 29)",0,27
87,E40,"(57, 67)",6,14
88,E41,"(29, 32)",7,22
89,E42,"(22, 73)",7,13
91,E43,"(24, 39)",3,13
92,E44,"(89, 78)",2,14
94,E45,"(81, 67)",7,20
95,E46,"(33, 71)",5,16
97,E47,"(44, 38)",5,27
99,E48,"(67, 92)",5,11
